ko	pathway	ERR1995267_bin.1	ERR1995267_bin.2	ERR1995267_bin.4	ERR1995267_bin.5	ERR1995267_bin.6	ERR1995267_bin.7	ERR1995267_bin.8
ko00010	Glycolysis / Gluconeogenesis	64	63	77	37	55	53	78
ko00020	Citrate cycle (TCA cycle)	37	39	50	11	37	44	48
ko00030	Pentose phosphate pathway	57	60	70	33	48	46	69
ko00040	Pentose and glucuronate interconversions	49	40	62	23	38	36	54
ko00051	Fructose and mannose metabolism	67	50	83	33	54	45	77
ko00052	Galactose metabolism	46	26	55	27	32	20	49
ko00053	Ascorbate and aldarate metabolism	26	30	38	13	27	22	38
ko00061	Fatty acid biosynthesis	22	26	27	7	25	26	26
ko00062	Fatty acid elongation	2	5	5	1	1	1	5
ko00071	Fatty acid degradation	16	35	34	10	22	20	33
ko00073	Cutin, suberine and wax biosynthesis	0	1	0	0	0	0	1
ko00100	Steroid biosynthesis	2	2	3	1	2	2	2
ko00120	Primary bile acid biosynthesis	0	1	3	1	1	1	2
ko00121	Secondary bile acid biosynthesis	0	2	2	1	1	2	2
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	24	32	37	12	33	30	39
ko00140	Steroid hormone biosynthesis	4	3	3	3	4	3	4
ko00190	Oxidative phosphorylation	3	5	12	4	5	7	12
ko00195	Photosynthesis	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	37	42	40	20	40	36	43
ko00230	Purine metabolism	85	91	112	48	88	87	104
ko00232	Caffeine metabolism	4	1	3	0	0	0	4
ko00240	Pyrimidine metabolism	55	56	69	40	57	58	65
ko00250	Alanine, aspartate and glutamate metabolism	51	51	55	26	42	43	56
ko00253	Tetracycline biosynthesis	8	11	10	2	7	9	10
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	76	77	84	44	74	72	83
ko00261	Monobactam biosynthesis	12	16	19	11	17	15	19
ko00270	Cysteine and methionine metabolism	71	66	76	35	61	66	87
ko00280	Valine, leucine and isoleucine degradation	39	53	59	9	48	43	55
ko00281	Geraniol degradation	10	14	15	3	9	11	14
