gene 	 KO 	 Evalue
k141_2255_length_114163_cov_13.9978_75	K00001	5.2e-74
k141_2643_length_21147_cov_10.0000_15	K00001	4.7e-66
k141_2986_length_144326_cov_14.0000_46	K00001	4.7e-60
k141_3242_length_110379_cov_13.0000_88	K00001	2.5e-55
k141_2986_length_144326_cov_14.0000_5	K00001	3.3e-52
k141_3346_length_80307_cov_10.9977_16	K00001	6.8e-44
k141_3242_length_110379_cov_13.0000_97	K00001	1.5e-31
k141_3346_length_80307_cov_10.9977_20	K00001	1.2e-10
k141_2297_length_20811_cov_13.0000_1	K00002	4.9e-62
k141_2244_length_39650_cov_13.4406_32	K00002	5.8e-12
k141_2086_length_8720_cov_12.9400_4	K00002	1.7e-06
k141_903_length_102134_cov_10.9978_40	K00003	2.8e-155
k141_2255_length_114163_cov_13.9978_75	K00004	1.5e-89
k141_3346_length_80307_cov_10.9977_16	K00004	8e-87
k141_3242_length_110379_cov_13.0000_88	K00004	1.1e-85
k141_2643_length_21147_cov_10.0000_15	K00004	9.4e-62
k141_2986_length_144326_cov_14.0000_46	K00004	1.3e-44
k141_2986_length_144326_cov_14.0000_5	K00004	2e-19
k141_3242_length_110379_cov_13.0000_97	K00004	6.1e-19
k141_3346_length_80307_cov_10.9977_20	K00004	1.1e-06
k141_1967_length_173355_cov_14.9982_77	K00005	4.3e-18
k141_1108_length_11759_cov_10.0000_9	K00005	1e-08
k141_1967_length_173355_cov_14.9982_85	K00007	4.7e-34
k141_1967_length_173355_cov_14.9982_86	K00007	2.8e-11
k141_3346_length_80307_cov_10.9977_16	K00008	2e-98
k141_3242_length_110379_cov_13.0000_88	K00008	6.6e-94
k141_2255_length_114163_cov_13.9978_75	K00008	2.3e-86
k141_2643_length_21147_cov_10.0000_15	K00008	1.3e-62
k141_2986_length_144326_cov_14.0000_46	K00008	4.2e-42
k141_2986_length_144326_cov_14.0000_5	K00008	2.8e-23
k141_3242_length_110379_cov_13.0000_97	K00008	2.2e-16
k141_3346_length_80307_cov_10.9977_20	K00008	1.1e-09
k141_1570_length_171565_cov_13.9987_37	K00008	1.3e-06
k141_1570_length_171565_cov_13.9987_61	K00010	2.6e-58
k141_3767_length_100308_cov_13.0000_53	K00010	9.8e-51
k141_3242_length_110379_cov_13.0000_84	K00010	1.4e-49
k141_2086_length_8720_cov_12.9400_8	K00010	7.4e-06
k141_2086_length_8720_cov_12.9400_8	K00012	1.7e-109
k141_1570_length_171565_cov_13.9987_52	K00012	1.7e-56
