gene 	 KO 	 Evalue
k141_627_length_121713_cov_80.9955_102	K00001	6.2e-82
k141_1342_length_485825_cov_56.0015_37	K00001	6.1e-76
k141_4135_length_272812_cov_66.9981_211	K00001	5.7e-44
k141_1342_length_485825_cov_56.0015_71	K00001	9.2e-33
k141_1097_length_128190_cov_66.0707_57	K00001	2.2e-29
k141_627_length_121713_cov_80.9955_70	K00001	2.6e-26
k141_2107_length_62457_cov_74.3164_19	K00001	7.1e-06
k141_604_length_98676_cov_61.1058_64	K00002	9.2e-69
k141_4312_length_98509_cov_70.0253_85	K00002	7.3e-63
k141_1097_length_128190_cov_66.0707_35	K00002	2.4e-06
k141_4135_length_272812_cov_66.9981_37	K00003	2.4e-156
k141_1623_length_103724_cov_59.9973_39	K00003	6.1e-08
k141_1342_length_485825_cov_56.0015_395	K00003	3.7e-07
k141_1623_length_103724_cov_59.9973_20	K00003	8.1e-06
k141_627_length_121713_cov_80.9955_102	K00004	9.3e-41
k141_1342_length_485825_cov_56.0015_37	K00004	5.6e-32
k141_4135_length_272812_cov_66.9981_211	K00004	1.1e-23
k141_2107_length_62457_cov_74.3164_44	K00004	3.3e-07
k141_1342_length_485825_cov_56.0015_277	K00005	4.7e-127
k141_1097_length_128190_cov_66.0707_53	K00005	3.4e-99
k141_581_length_143507_cov_77.9919_83	K00005	4.5e-84
k141_627_length_121713_cov_80.9955_70	K00005	7.4e-18
k141_1342_length_485825_cov_56.0015_71	K00005	3e-16
k141_1342_length_485825_cov_56.0015_143	K00005	5.5e-12
k141_1097_length_128190_cov_66.0707_57	K00005	2.7e-09
k141_2186_length_101424_cov_76.0581_62	K00007	2.9e-25
k141_627_length_121713_cov_80.9955_102	K00008	1.5e-46
k141_1342_length_485825_cov_56.0015_37	K00008	1.6e-39
k141_4135_length_272812_cov_66.9981_211	K00008	1e-21
k141_2107_length_62457_cov_74.3164_44	K00008	1.6e-07
k141_2186_length_101424_cov_76.0581_62	K00009	3.5e-150
k141_1623_length_103724_cov_59.9973_19	K00010	7.4e-106
k141_1623_length_103724_cov_59.9973_20	K00010	2.3e-94
k141_1623_length_103724_cov_59.9973_39	K00010	1.4e-44
k141_3471_length_25826_cov_72.6644_15	K00010	2.2e-41
k141_636_length_68657_cov_68.1680_25	K00010	5e-41
k141_1342_length_485825_cov_56.0015_395	K00010	3.5e-39
k141_2915_length_90130_cov_65.4968_46	K00010	9.1e-21
k141_4135_length_272812_cov_66.9981_37	K00010	9.6e-08
k141_627_length_121713_cov_80.9955_97	K00010	1.2e-06
k141_1097_length_128190_cov_66.0707_116	K00010	1.2e-06
k141_2198_length_98840_cov_55.9971_62	K00012	9.9e-13
k141_1342_length_485825_cov_56.0015_428	K00012	5.8e-07
k141_4312_length_98509_cov_70.0253_75	K00012	5.2e-06
k141_1342_length_485825_cov_56.0015_120	K00012	9.6e-06
k141_1342_length_485825_cov_56.0015_145	K00014	3.3e-97
k141_627_length_121713_cov_80.9955_97	K00014	7.2e-07
k141_4312_length_98509_cov_70.0253_75	K00014	1.6e-06
k141_627_length_121713_cov_80.9955_13	K00014	9.4e-06
k141_581_length_143507_cov_77.9919_82	K00015	2.1e-84
k141_2107_length_62457_cov_74.3164_53	K00015	4e-63
k141_627_length_121713_cov_80.9955_13	K00016	8.5e-142
k141_4312_length_98509_cov_70.0253_75	K00016	9.2e-138
k141_581_length_143507_cov_77.9919_82	K00018	1.1e-68
k141_2107_length_62457_cov_74.3164_53	K00018	3e-62
k141_1341_length_61190_cov_70.9818_10	K00019	8e-60
k141_2198_length_98840_cov_55.9971_37	K00019	3.4e-58
k141_2186_length_101424_cov_76.0581_49	K00019	2.1e-57
k141_1342_length_485825_cov_56.0015_18	K00019	4.9e-53
k141_2107_length_62457_cov_74.3164_19	K00019	4.1e-50
k141_3957_length_158717_cov_94.2991_20	K00019	3.8e-44
k141_3957_length_158717_cov_94.2991_122	K00019	2.7e-42
k141_1342_length_485825_cov_56.0015_41	K00019	3.5e-42
k141_1150_length_55350_cov_76.0046_14	K00019	5.5e-19
k141_581_length_143507_cov_77.9919_115	K00019	1.8e-17
k141_1341_length_61190_cov_70.9818_3	K00020	1.9e-105
k141_581_length_143507_cov_77.9919_81	K00020	7.9e-48
k141_2915_length_90130_cov_65.4968_86	K00020	3.3e-34
k141_1097_length_128190_cov_66.0707_116	K00020	6e-14
k141_4135_length_272812_cov_66.9981_39	K00020	1.1e-09
k141_2198_length_98840_cov_55.9971_62	K00020	3e-09
k141_1342_length_485825_cov_56.0015_141	K00020	1e-06
k141_581_length_143507_cov_77.9919_82	K00020	2.4e-06
k141_627_length_121713_cov_80.9955_97	K00020	2.9e-06
k141_1342_length_485825_cov_56.0015_271	K00021	9.4e-15
k141_1341_length_61190_cov_70.9818_10	K00023	6.3e-80
k141_2186_length_101424_cov_76.0581_49	K00023	1e-63
k141_2198_length_98840_cov_55.9971_37	K00023	5e-57
k141_3957_length_158717_cov_94.2991_20	K00023	1e-48
k141_3957_length_158717_cov_94.2991_122	K00023	9.2e-44
k141_1342_length_485825_cov_56.0015_18	K00023	5.5e-42
k141_2107_length_62457_cov_74.3164_19	K00023	1.5e-40
k141_1342_length_485825_cov_56.0015_41	K00023	1.7e-40
k141_581_length_143507_cov_77.9919_115	K00023	1.7e-26
k141_1150_length_55350_cov_76.0046_14	K00023	3.8e-19
k141_627_length_121713_cov_80.9955_13	K00024	8.4e-104
k141_4312_length_98509_cov_70.0253_75	K00024	4.5e-101
k141_1342_length_485825_cov_56.0015_432	K00027	1.1e-136
k141_3957_length_158717_cov_94.2991_42	K00027	2.5e-121
k141_1342_length_485825_cov_56.0015_432	K00029	1.8e-82
k141_3957_length_158717_cov_94.2991_42	K00029	2e-72
k141_2107_length_62457_cov_74.3164_53	K00032	5.7e-58
k141_581_length_143507_cov_77.9919_82	K00032	1.8e-48
k141_2915_length_90130_cov_65.4968_86	K00033	5.9e-222
k141_581_length_143507_cov_77.9919_81	K00033	4.4e-100
k141_1341_length_61190_cov_70.9818_3	K00033	1.9e-23
k141_2198_length_98840_cov_55.9971_62	K00033	1.3e-08
k141_2186_length_101424_cov_76.0581_49	K00034	7.1e-87
k141_1341_length_61190_cov_70.9818_10	K00034	6.7e-81
k141_2198_length_98840_cov_55.9971_37	K00034	2.7e-76
k141_3957_length_158717_cov_94.2991_122	K00034	2.5e-68
k141_3957_length_158717_cov_94.2991_20	K00034	1.8e-58
k141_1342_length_485825_cov_56.0015_41	K00034	7.9e-54
k141_1342_length_485825_cov_56.0015_18	K00034	1.4e-51
k141_2107_length_62457_cov_74.3164_19	K00034	3.9e-51
k141_581_length_143507_cov_77.9919_115	K00034	9.2e-36
k141_1150_length_55350_cov_76.0046_14	K00034	1.1e-34
k141_1342_length_485825_cov_56.0015_395	K00035	4.1e-21
k141_636_length_68657_cov_68.1680_25	K00035	2.9e-17
k141_1623_length_103724_cov_59.9973_39	K00035	1.3e-14
