gene 	 KO 	 Evalue
k113_18611_length_8138_cov_7.0000_7	K00001	8.5e-38
k113_71368_length_10262_cov_6.0000_5	K00001	4.9e-36
k113_33471_length_6504_cov_9.0000_5	K00001	2.3e-33
k113_40011_length_27556_cov_10.0000_4	K00001	3.3e-31
k113_36140_length_22774_cov_10.0000_23	K00001	1.9e-21
k113_50364_length_8903_cov_10.9841_3	K00001	7e-07
k113_102451_length_6563_cov_8.9653_5	K00001	2.2e-06
k113_50364_length_8903_cov_10.9841_7	K00002	8e-70
k113_2240_length_17306_cov_8.1725_6	K00002	1.4e-59
k113_102451_length_6563_cov_8.9653_2	K00002	2e-07
k113_102451_length_6563_cov_8.9653_1	K00002	1.9e-06
k113_18021_length_8589_cov_9.0000_2	K00003	3.4e-158
k113_99974_length_21485_cov_8.9948_13	K00003	9.3e-141
k113_106060_length_24062_cov_9.0000_17	K00004	4.6e-06
k113_70772_length_7559_cov_9.0000_7	K00004	8.1e-06
k113_34181_length_57266_cov_8.0000_7	K00004	8.8e-06
k113_71368_length_10262_cov_6.0000_5	K00005	1.2e-20
k113_33471_length_6504_cov_9.0000_5	K00005	2.6e-14
k113_40011_length_27556_cov_10.0000_4	K00005	8.5e-12
k113_18611_length_8138_cov_7.0000_7	K00005	1.2e-11
k113_36140_length_22774_cov_10.0000_23	K00005	6.8e-10
k113_57156_length_24374_cov_8.9944_36	K00005	3.6e-08
k113_358_length_9793_cov_7.0000_4	K00005	5.2e-07
k113_96886_length_5150_cov_7.0000_3	K00007	2.9e-46
k113_13563_length_17746_cov_7.6534_5	K00007	9.8e-43
k113_106060_length_24062_cov_9.0000_17	K00008	9.4e-08
k113_50364_length_8903_cov_10.9841_3	K00008	1.7e-06
k113_34181_length_57266_cov_8.0000_7	K00008	5.5e-06
k113_13563_length_17746_cov_7.6534_5	K00009	3.8e-14
k113_96886_length_5150_cov_7.0000_3	K00009	7.8e-09
k113_38398_length_12642_cov_7.6665_4	K00010	1.2e-57
k113_25840_length_8606_cov_6.9901_8	K00010	1.8e-42
k113_4759_length_12755_cov_8.0000_6	K00010	3.3e-38
k113_4759_length_12755_cov_8.0000_7	K00010	1.3e-37
k113_38398_length_12642_cov_7.6665_5	K00010	5.7e-15
k113_106060_length_24062_cov_9.0000_17	K00012	1.5e-06
k113_50364_length_8903_cov_10.9841_3	K00012	2.3e-06
k113_37725_length_29642_cov_8.0000_16	K00012	5.8e-06
k113_52927_length_16465_cov_7.0000_8	K00013	9.3e-191
k113_23760_length_22403_cov_8.0000_13	K00014	2.3e-93
k113_3464_length_13608_cov_8.0000_8	K00014	1.9e-12
k113_70772_length_7559_cov_9.0000_7	K00014	1e-07
k113_102451_length_6563_cov_8.9653_5	K00014	2.7e-07
k113_34181_length_57266_cov_8.0000_7	K00014	1.5e-06
k113_72658_length_5806_cov_7.0000_1	K00014	6.2e-06
k113_7916_length_19864_cov_11.0000_15	K00015	9.4e-84
k113_102222_length_4772_cov_8.0000_3	K00015	2.3e-68
k113_98615_length_9984_cov_9.0000_3	K00015	8.1e-59
k113_2240_length_17306_cov_8.1725_15	K00015	3.7e-08
k113_29852_length_21263_cov_8.0000_14	K00015	8.6e-07
k113_72658_length_5806_cov_7.0000_1	K00016	6.1e-134
k113_7916_length_19864_cov_11.0000_15	K00018	1.5e-115
k113_102222_length_4772_cov_8.0000_3	K00018	1e-62
k113_98615_length_9984_cov_9.0000_3	K00018	3.6e-49
k113_46399_length_26085_cov_9.0000_6	K00019	1.5e-61
k113_67951_length_12414_cov_8.9909_2	K00019	3.1e-57
k113_95475_length_13049_cov_7.0000_1	K00019	9.1e-55
k113_38411_length_6255_cov_9.0000_1	K00019	3.5e-51
k113_17364_length_5983_cov_20.0000_2	K00019	3.7e-46
k113_15934_length_23885_cov_9.0000_12	K00019	4.1e-45
k113_21353_length_13187_cov_10.0000_4	K00019	1.4e-32
k113_49226_length_10289_cov_9.0000_3	K00019	2.3e-17
k113_72395_length_98227_cov_8.9987_70	K00019	6.9e-08
k113_17813_length_35231_cov_7.9972_3	K00019	5.3e-06
k113_72395_length_98227_cov_8.9987_21	K00019	9.2e-06
k113_2240_length_17306_cov_8.1725_15	K00020	7.7e-103
k113_95475_length_13049_cov_7.0000_8	K00020	2e-09
k113_102222_length_4772_cov_8.0000_3	K00020	1.6e-08
k113_29852_length_21263_cov_8.0000_14	K00020	7.6e-08
k113_98615_length_9984_cov_9.0000_3	K00020	8.1e-08
k113_59345_length_7613_cov_8.0000_1	K00020	1.6e-07
k113_98078_length_17804_cov_10.0000_4	K00022	6.1e-38
k113_46399_length_26085_cov_9.0000_6	K00023	5.1e-89
k113_67951_length_12414_cov_8.9909_2	K00023	1.2e-77
k113_38411_length_6255_cov_9.0000_1	K00023	3.1e-71
k113_95475_length_13049_cov_7.0000_1	K00023	6e-60
k113_15934_length_23885_cov_9.0000_12	K00023	7.7e-58
k113_17364_length_5983_cov_20.0000_2	K00023	1.5e-45
k113_21353_length_13187_cov_10.0000_4	K00023	2.6e-24
k113_49226_length_10289_cov_9.0000_3	K00023	3.2e-18
k113_72395_length_98227_cov_8.9987_70	K00023	3.8e-08
k113_72658_length_5806_cov_7.0000_1	K00024	7.9e-93
k113_88682_length_12661_cov_9.0000_2	K00027	4.4e-139
k113_88682_length_12661_cov_9.0000_2	K00029	4e-83
k113_74993_length_6895_cov_8.0000_3	K00030	8.9e-51
k113_52957_length_16001_cov_7.0000_12	K00030	4.7e-08
k113_52957_length_16001_cov_7.0000_12	K00031	4.8e-165
k113_74993_length_6895_cov_8.0000_3	K00031	1.7e-50
k113_7916_length_19864_cov_11.0000_15	K00032	2.2e-56
k113_98615_length_9984_cov_9.0000_3	K00032	3.9e-36
k113_102222_length_4772_cov_8.0000_3	K00032	7.4e-34
k113_2240_length_17306_cov_8.1725_15	K00032	6.9e-06
k113_2240_length_17306_cov_8.1725_15	K00033	1.3e-25
k113_106988_length_13257_cov_6.0000_1	K00033	5.8e-07
k113_50364_length_8903_cov_10.9841_3	K00033	5.1e-06
k113_67951_length_12414_cov_8.9909_2	K00034	1.1e-92
k113_46399_length_26085_cov_9.0000_6	K00034	1e-87
k113_95475_length_13049_cov_7.0000_1	K00034	5.7e-81
k113_15934_length_23885_cov_9.0000_12	K00034	7.4e-78
k113_38411_length_6255_cov_9.0000_1	K00034	2.3e-74
k113_17364_length_5983_cov_20.0000_2	K00034	2.7e-66
k113_21353_length_13187_cov_10.0000_4	K00034	5.7e-30
k113_49226_length_10289_cov_9.0000_3	K00034	1.3e-27
k113_72395_length_98227_cov_8.9987_70	K00034	5.1e-09
k113_34181_length_57266_cov_8.0000_1	K00034	2.7e-07
k113_38398_length_12642_cov_7.6665_4	K00035	6.9e-17
k113_4759_length_12755_cov_8.0000_7	K00035	4.2e-16
k113_25840_length_8606_cov_6.9901_8	K00035	1.4e-14
k113_4759_length_12755_cov_8.0000_6	K00035	2.9e-11
k113_46399_length_26085_cov_9.0000_6	K00038	7.6e-71
k113_67951_length_12414_cov_8.9909_2	K00038	8e-68
k113_95475_length_13049_cov_7.0000_1	K00038	1.1e-64
k113_17364_length_5983_cov_20.0000_2	K00038	6.6e-61
k113_15934_length_23885_cov_9.0000_12	K00038	7.8e-61
k113_38411_length_6255_cov_9.0000_1	K00038	8.1e-57
k113_21353_length_13187_cov_10.0000_4	K00038	2e-27
k113_49226_length_10289_cov_9.0000_3	K00038	1.5e-26
k113_72395_length_98227_cov_8.9987_70	K00038	7.8e-07
k113_34181_length_57266_cov_8.0000_1	K00038	3.9e-06
k113_67951_length_12414_cov_8.9909_2	K00039	4.7e-44
k113_46399_length_26085_cov_9.0000_6	K00039	9e-38
k113_38411_length_6255_cov_9.0000_1	K00039	2.3e-36
k113_15934_length_23885_cov_9.0000_12	K00039	6.9e-35
k113_95475_length_13049_cov_7.0000_1	K00039	6.9e-32
k113_17364_length_5983_cov_20.0000_2	K00039	8.8e-28
k113_21353_length_13187_cov_10.0000_4	K00039	8.2e-27
k113_49226_length_10289_cov_9.0000_3	K00039	1.6e-14
k113_96886_length_5150_cov_7.0000_3	K00040	4.7e-123
k113_13563_length_17746_cov_7.6534_5	K00040	1.4e-63
k113_13563_length_17746_cov_7.6534_5	K00041	6.2e-188
k113_96886_length_5150_cov_7.0000_3	K00041	5.4e-35
k113_2240_length_17306_cov_8.1725_15	K00042	5.3e-109
k113_95475_length_13049_cov_7.0000_8	K00042	2.5e-07
k113_98615_length_9984_cov_9.0000_3	K00042	5.6e-07
k113_29852_length_21263_cov_8.0000_14	K00042	4.8e-06
k113_71368_length_10262_cov_6.0000_5	K00043	2.3e-84
k113_33471_length_6504_cov_9.0000_5	K00043	6.9e-73
k113_40011_length_27556_cov_10.0000_4	K00043	8.5e-66
k113_18611_length_8138_cov_7.0000_7	K00043	1.3e-57
k113_36140_length_22774_cov_10.0000_23	K00043	5e-54
k113_96886_length_5150_cov_7.0000_3	K00045	3.3e-70
k113_13563_length_17746_cov_7.6534_5	K00045	1.7e-50
k113_71368_length_10262_cov_6.0000_5	K00048	6.3e-172
k113_40011_length_27556_cov_10.0000_4	K00048	2.3e-76
k113_36140_length_22774_cov_10.0000_23	K00048	3.4e-74
k113_33471_length_6504_cov_9.0000_5	K00048	3e-70
k113_18611_length_8138_cov_7.0000_7	K00048	1.9e-57
k113_7916_length_19864_cov_11.0000_15	K00049	3.6e-32
k113_102222_length_4772_cov_8.0000_3	K00049	8.2e-27
k113_98615_length_9984_cov_9.0000_3	K00049	4.1e-16
k113_7916_length_19864_cov_11.0000_15	K00050	1.6e-56
k113_98615_length_9984_cov_9.0000_3	K00050	1.2e-36
k113_102222_length_4772_cov_8.0000_3	K00050	4.6e-35
k113_74993_length_6895_cov_8.0000_3	K00052	1e-154
k113_52957_length_16001_cov_7.0000_12	K00052	1.5e-18
k113_59345_length_7613_cov_8.0000_1	K00053	8e-153
k113_26496_length_5209_cov_5.0000_1	K00057	6.1e-87
k113_106988_length_13257_cov_6.0000_1	K00057	5.8e-37
k113_106060_length_24062_cov_9.0000_17	K00057	4.5e-07
k113_95475_length_13049_cov_7.0000_8	K00057	1.1e-06
k113_37725_length_29642_cov_8.0000_16	K00057	1.4e-06
k113_70725_length_22094_cov_7.9955_6	K00057	9e-06
k113_23760_length_22403_cov_8.0000_13	K00057	9.6e-06
k113_98615_length_9984_cov_9.0000_3	K00058	2.8e-97
k113_7916_length_19864_cov_11.0000_15	K00058	6.1e-95
k113_102222_length_4772_cov_8.0000_3	K00058	1.3e-81
k113_29852_length_21263_cov_8.0000_14	K00058	1.7e-07
k113_59345_length_7613_cov_8.0000_1	K00058	1.9e-06
k113_2240_length_17306_cov_8.1725_15	K00058	2.3e-06
k113_46399_length_26085_cov_9.0000_6	K00059	1.1e-105
k113_67951_length_12414_cov_8.9909_2	K00059	8.2e-101
k113_38411_length_6255_cov_9.0000_1	K00059	7.5e-89
k113_95475_length_13049_cov_7.0000_1	K00059	1.5e-82
k113_15934_length_23885_cov_9.0000_12	K00059	1.1e-79
k113_17364_length_5983_cov_20.0000_2	K00059	4.1e-78
k113_21353_length_13187_cov_10.0000_4	K00059	1.6e-38
k113_49226_length_10289_cov_9.0000_3	K00059	7.4e-34
k113_72395_length_98227_cov_8.9987_70	K00059	2.2e-11
k113_72395_length_98227_cov_8.9987_18	K00059	1.1e-09
k113_34181_length_57266_cov_8.0000_1	K00059	1.6e-08
k113_72395_length_98227_cov_8.9987_21	K00059	1.5e-06
k113_50364_length_8903_cov_10.9841_3	K00060	8e-06
k113_2240_length_17306_cov_8.1725_6	K00064	2e-20
k113_50364_length_8903_cov_10.9841_7	K00064	1e-16
k113_15934_length_23885_cov_9.0000_12	K00065	1.9e-101
k113_95475_length_13049_cov_7.0000_1	K00065	8.1e-90
k113_46399_length_26085_cov_9.0000_6	K00065	8.2e-85
k113_67951_length_12414_cov_8.9909_2	K00065	4.8e-82
k113_38411_length_6255_cov_9.0000_1	K00065	2e-72
k113_17364_length_5983_cov_20.0000_2	K00065	2.3e-67
k113_21353_length_13187_cov_10.0000_4	K00065	1.5e-33
k113_49226_length_10289_cov_9.0000_3	K00065	9e-27
k113_72395_length_98227_cov_8.9987_70	K00065	4.5e-11
k113_34181_length_57266_cov_8.0000_1	K00065	3.3e-10
k113_17813_length_35231_cov_7.9972_3	K00065	7e-07
k113_72395_length_98227_cov_8.9987_18	K00065	2.4e-06
k113_72395_length_98227_cov_8.9987_21	K00067	4.8e-102
k113_72395_length_98227_cov_8.9987_22	K00067	4.5e-30
k113_72395_length_98227_cov_8.9987_18	K00067	3.3e-23
k113_50530_length_4543_cov_18.0000_3	K00067	2.6e-19
k113_72395_length_98227_cov_8.9987_70	K00067	2e-18
k113_46399_length_26085_cov_9.0000_6	K00068	4.2e-60
k113_67951_length_12414_cov_8.9909_2	K00068	7.7e-60
k113_38411_length_6255_cov_9.0000_1	K00068	4.4e-48
k113_95475_length_13049_cov_7.0000_1	K00068	7.2e-48
k113_15934_length_23885_cov_9.0000_12	K00068	9.1e-46
k113_17364_length_5983_cov_20.0000_2	K00068	1.1e-39
k113_21353_length_13187_cov_10.0000_4	K00068	2.3e-21
k113_49226_length_10289_cov_9.0000_3	K00068	6.3e-14
k113_72395_length_98227_cov_8.9987_18	K00068	1.8e-08
k113_72395_length_98227_cov_8.9987_70	K00068	9e-06
k113_98078_length_17804_cov_10.0000_4	K00074	2.7e-68
k113_106060_length_24062_cov_9.0000_17	K00074	7.2e-07
k113_61748_length_9665_cov_8.0000_2	K00074	3.5e-06
k113_36140_length_22774_cov_10.0000_13	K00075	4.4e-118
k113_70725_length_22094_cov_7.9955_6	K00077	9.1e-69
k113_106988_length_13257_cov_6.0000_1	K00077	3.2e-09
k113_29852_length_21263_cov_8.0000_14	K00077	1.9e-07
k113_37725_length_29642_cov_8.0000_16	K00077	2.5e-06
k113_25840_length_8606_cov_6.9901_8	K00078	3.3e-51
k113_4759_length_12755_cov_8.0000_7	K00078	1.6e-21
k113_4759_length_12755_cov_8.0000_6	K00078	1.9e-17
k113_38398_length_12642_cov_7.6665_4	K00078	1e-11
k113_67951_length_12414_cov_8.9909_2	K00079	9e-13
k113_46399_length_26085_cov_9.0000_6	K00079	1.6e-11
k113_95475_length_13049_cov_7.0000_1	K00079	1.4e-09
k113_38411_length_6255_cov_9.0000_1	K00079	7.9e-07
k113_15934_length_23885_cov_9.0000_12	K00079	6.7e-06
k113_25840_length_8606_cov_6.9901_4	K00082	6.5e-44
k113_67951_length_12414_cov_8.9909_2	K00084	1.9e-13
k113_46399_length_26085_cov_9.0000_6	K00084	3.9e-13
k113_38411_length_6255_cov_9.0000_1	K00084	6.7e-10
k113_95475_length_13049_cov_7.0000_1	K00084	2.9e-08
k113_17364_length_5983_cov_20.0000_2	K00084	5.5e-06
k113_15934_length_23885_cov_9.0000_12	K00084	8.9e-06
k113_71368_length_10262_cov_6.0000_5	K00086	1.5e-118
k113_33471_length_6504_cov_9.0000_5	K00086	1.6e-93
k113_40011_length_27556_cov_10.0000_4	K00086	3.6e-90
k113_36140_length_22774_cov_10.0000_23	K00086	1.3e-87
k113_18611_length_8138_cov_7.0000_7	K00086	2.6e-82
k113_18611_length_8138_cov_7.0000_4	K00087	2.7e-218
k113_15934_length_23885_cov_9.0000_18	K00088	5.7e-224
k113_46399_length_26085_cov_9.0000_8	K00088	1.1e-08
k113_34181_length_57266_cov_8.0000_4	K00088	8.2e-08
k113_59345_length_7613_cov_8.0000_4	K00088	2e-07
k113_102936_length_20645_cov_9.0000_2	K00088	2.3e-07
k113_7916_length_19864_cov_11.0000_15	K00090	1.2e-67
k113_102222_length_4772_cov_8.0000_3	K00090	2.5e-45
k113_98615_length_9984_cov_9.0000_3	K00090	1.2e-43
k113_2240_length_17306_cov_8.1725_15	K00090	2.2e-09
k113_71368_length_10262_cov_6.0000_5	K00093	2.3e-83
k113_40011_length_27556_cov_10.0000_4	K00093	4e-63
k113_36140_length_22774_cov_10.0000_23	K00093	3.8e-57
k113_33471_length_6504_cov_9.0000_5	K00093	1.4e-55
k113_18611_length_8138_cov_7.0000_7	K00093	4.2e-39
k113_358_length_9793_cov_7.0000_4	K00096	5.8e-22
k113_57156_length_24374_cov_8.9944_36	K00096	9.9e-20
k113_71368_length_10262_cov_6.0000_5	K00096	8.6e-12
k113_40011_length_27556_cov_10.0000_4	K00096	3.3e-09
k113_33471_length_6504_cov_9.0000_5	K00096	3.3e-09
k113_18611_length_8138_cov_7.0000_7	K00096	1.1e-06
k113_3464_length_13608_cov_8.0000_8	K00098	9.3e-06
k113_91614_length_56602_cov_7.9983_54	K00099	9.2e-166
k113_18611_length_8138_cov_7.0000_7	K00100	1.9e-74
k113_71368_length_10262_cov_6.0000_5	K00100	7.6e-66
k113_33471_length_6504_cov_9.0000_5	K00100	1.6e-58
k113_40011_length_27556_cov_10.0000_4	K00100	4.3e-55
k113_36140_length_22774_cov_10.0000_23	K00100	1.5e-51
k113_15934_length_23885_cov_9.0000_18	K00101	3.2e-06
k113_18611_length_8138_cov_7.0000_4	K00106	8.1e-47
k113_18611_length_8138_cov_7.0000_3	K00106	2.9e-20
k113_70772_length_7559_cov_9.0000_9	K00111	1.2e-24
k113_56061_length_53171_cov_7.0000_43	K00111	1.1e-11
k113_70772_length_7559_cov_9.0000_7	K00111	2.1e-09
k113_51217_length_10506_cov_8.0000_4	K00111	4e-09
k113_70772_length_7559_cov_9.0000_8	K00111	1.4e-07
k113_72395_length_98227_cov_8.9987_62	K00111	1.1e-06
k113_30890_length_16131_cov_9.9657_6	K00111	2.7e-06
k113_56061_length_53171_cov_7.0000_43	K00112	8.5e-20
k113_70772_length_7559_cov_9.0000_7	K00112	2e-11
k113_29755_length_30982_cov_7.0000_23	K00112	3.4e-09
k113_51217_length_10506_cov_8.0000_4	K00112	1.6e-07
k113_26393_length_8988_cov_9.0000_4	K00112	9e-07
k113_70772_length_7559_cov_9.0000_9	K00112	4.4e-06
k113_30890_length_16131_cov_9.9657_6	K00112	6e-06
k113_29755_length_30982_cov_7.0000_22	K00112	7.1e-06
k113_80106_length_19762_cov_7.0000_12	K00112	9.7e-06
k113_102451_length_6563_cov_8.9653_6	K00113	1e-06
k113_7916_length_19864_cov_11.0000_15	K00122	5.7e-35
k113_102222_length_4772_cov_8.0000_3	K00122	5.4e-34
k113_98615_length_9984_cov_9.0000_3	K00122	2e-24
k113_102451_length_6563_cov_8.9653_6	K00123	4.8e-31
k113_70772_length_7559_cov_9.0000_6	K00123	2.3e-06
k113_56061_length_53171_cov_7.0000_35	K00123	9.8e-06
k113_1355_length_19269_cov_7.9949_11	K00124	1.7e-15
k113_56061_length_53171_cov_7.0000_30	K00124	2.6e-09
k113_30890_length_16131_cov_9.9657_7	K00124	7e-08
k113_34181_length_57266_cov_8.0000_11	K00124	1.6e-07
k113_50639_length_9485_cov_8.0000_4	K00124	1.7e-07
k113_72658_length_5806_cov_7.0000_4	K00125	7.2e-09
k113_56061_length_53171_cov_7.0000_35	K00125	1.1e-07
k113_4127_length_31441_cov_8.9964_26	K00125	6.4e-06
k113_33471_length_6504_cov_9.0000_4	K00128	8.8e-157
k113_29755_length_30982_cov_7.0000_17	K00128	2.2e-26
k113_40011_length_27556_cov_10.0000_4	K00128	7.2e-25
k113_33471_length_6504_cov_9.0000_4	K00129	1.7e-109
k113_40011_length_27556_cov_10.0000_4	K00129	1.2e-10
k113_29755_length_30982_cov_7.0000_17	K00129	2.4e-07
k113_33471_length_6504_cov_9.0000_4	K00130	5.6e-98
k113_29755_length_30982_cov_7.0000_17	K00130	3.3e-27
k113_40011_length_27556_cov_10.0000_4	K00130	6.1e-18
k113_33471_length_6504_cov_9.0000_4	K00131	9.5e-81
k113_29755_length_30982_cov_7.0000_17	K00131	1.1e-17
k113_40011_length_27556_cov_10.0000_4	K00131	1.3e-12
k113_40011_length_27556_cov_10.0000_4	K00132	7e-174
k113_29755_length_30982_cov_7.0000_17	K00132	1.6e-21
k113_33471_length_6504_cov_9.0000_4	K00132	6.6e-09
k113_33374_length_24322_cov_8.0000_13	K00133	1.7e-79
k113_34181_length_57266_cov_8.0000_57	K00133	1.5e-24
k113_44526_length_13639_cov_9.0000_4	K00133	5.5e-11
k113_44526_length_13639_cov_9.0000_4	K00134	1.8e-130
k113_33471_length_6504_cov_9.0000_4	K00135	1e-96
k113_40011_length_27556_cov_10.0000_4	K00135	2.1e-25
k113_29755_length_30982_cov_7.0000_17	K00135	6.1e-18
k113_33471_length_6504_cov_9.0000_4	K00137	1.8e-67
