gene 	 KO 	 Evalue
k141_16308_5	K00001	1.4e-29
k141_54612_1	K00001	1.2e-25
k141_16702_3	K00001	7.6e-23
k141_16389_2	K00002	1.9e-51
k141_20893_14	K00003	5.6e-163
k141_60490_1	K00003	6e-08
k141_16702_3	K00004	6.2e-30
k141_33344_8	K00004	8.7e-09
k141_54612_1	K00005	2.7e-16
k141_16308_5	K00005	6.6e-15
k141_37764_3	K00005	3.2e-10
k141_31937_2	K00007	7.1e-40
k141_16702_3	K00008	2.9e-33
k141_33344_8	K00008	3.5e-07
k141_9742_2	K00008	4.6e-06
k141_31937_2	K00009	1.4e-07
k141_31099_9	K00010	8.6e-61
k141_17283_4	K00010	6.1e-23
k141_37537_6	K00012	1.3e-12
k141_9742_2	K00012	1.4e-09
k141_47294_10	K00012	2.5e-07
k141_14055_4	K00014	1.2e-97
k141_26377_7	K00014	4.2e-07
k141_35445_8	K00014	8.2e-07
k141_74660_2	K00014	1.4e-06
k141_58454_22	K00015	5.3e-92
k141_1698_7	K00015	1.3e-77
k141_69716_2	K00015	7.2e-59
k141_35445_8	K00016	3.6e-117
k141_58454_22	K00018	1.2e-99
k141_1698_7	K00018	4e-72
k141_69716_2	K00018	4.9e-50
k141_26229_3	K00018	1.6e-07
k141_66429_2	K00019	6.4e-56
k141_82675_14	K00019	2e-45
k141_8089_5	K00019	1.2e-29
k141_82675_15	K00019	3.9e-14
k141_6927_5	K00019	2.8e-09
k141_68615_12	K00019	2.6e-07
k141_58454_22	K00020	7e-08
k141_42123_8	K00020	2.1e-07
k141_77133_8	K00020	7.7e-07
k141_62065_17	K00020	1.2e-06
k141_24424_13	K00020	7.1e-06
k141_69716_2	K00020	8.6e-06
k141_9742_2	K00022	5.7e-10
k141_82675_14	K00023	9.8e-72
k141_66429_2	K00023	6.8e-71
k141_8089_5	K00023	3.4e-21
k141_82675_15	K00023	2.5e-17
k141_6927_5	K00023	1.1e-08
k141_35445_8	K00024	1.2e-98
k141_68615_12	K00024	2.5e-08
k141_81404_2	K00024	9.5e-06
k141_35445_9	K00027	6e-100
k141_35445_10	K00027	3e-39
k141_35445_9	K00029	7.7e-65
k141_35445_10	K00029	1.3e-27
k141_69716_6	K00030	9.2e-50
