gene 	 KO 	 Evalue
k115_59805_length_16970_cov_9.9829_7	K00001	1.2e-37
k115_70092_length_31410_cov_9.8347_14	K00001	1.4e-28
k115_114430_length_18685_cov_8.0000_5	K00001	1.2e-27
k115_76420_length_3088_cov_10.8890_2	K00001	1.9e-22
k115_108206_length_4197_cov_7.9451_3	K00001	1.8e-06
k115_30123_length_14572_cov_8.9906_3	K00001	1.8e-06
k115_98946_length_3234_cov_13.9333_1	K00002	1.8e-07
k115_49069_length_10841_cov_7.0000_10	K00003	2.2e-124
k115_97243_length_9414_cov_10.9828_2	K00003	1e-07
k115_64038_length_13455_cov_8.9904_3	K00004	1.1e-06
k115_139493_length_33313_cov_7.9924_22	K00004	1.3e-06
k115_51930_length_24163_cov_7.9907_24	K00004	4.6e-06
k115_21103_length_29021_cov_13.0000_7	K00004	9.5e-06
k115_59805_length_16970_cov_9.9829_7	K00005	8.8e-27
k115_70092_length_31410_cov_9.8347_14	K00005	1.7e-15
k115_114430_length_18685_cov_8.0000_5	K00005	7.2e-13
k115_129299_length_53789_cov_8.9952_35	K00005	1.5e-12
k115_76420_length_3088_cov_10.8890_2	K00005	7.5e-11
k115_51930_length_24163_cov_7.9907_24	K00008	6.6e-07
k115_30123_length_14572_cov_8.9906_3	K00008	5.8e-06
k115_97243_length_9414_cov_10.9828_2	K00010	3e-47
k115_3301_length_53187_cov_10.9977_23	K00010	9.8e-34
k115_30110_length_13560_cov_8.9905_5	K00012	8.1e-110
k115_118559_length_14383_cov_8.0000_4	K00013	1.9e-181
k115_104696_length_16612_cov_11.9893_17	K00014	2e-80
k115_21103_length_29021_cov_13.0000_7	K00014	1e-09
k115_117032_length_6946_cov_7.0000_9	K00014	2e-08
k115_129299_length_53789_cov_8.9952_45	K00014	2.5e-08
k115_51930_length_24163_cov_7.9907_24	K00014	1.9e-07
k115_35185_length_15881_cov_9.9806_13	K00014	3.2e-07
k115_51930_length_24163_cov_7.9907_7	K00014	6.2e-07
k115_148119_length_89498_cov_9.9984_5	K00014	4.6e-06
k115_69968_length_47389_cov_8.0000_41	K00014	8.9e-06
k115_139493_length_33313_cov_7.9924_23	K00015	7.2e-91
k115_1900_length_36792_cov_11.4640_19	K00015	4.5e-90
k115_30448_length_21105_cov_9.9927_20	K00015	9.9e-79
k115_139493_length_33313_cov_7.9924_22	K00015	8.2e-75
k115_76715_length_28682_cov_10.0000_16	K00015	4.8e-61
k115_21103_length_29021_cov_13.0000_7	K00015	3e-11
k115_129299_length_53789_cov_8.9952_45	K00016	5.6e-122
k115_1900_length_36792_cov_11.4640_19	K00018	1.2e-123
k115_139493_length_33313_cov_7.9924_23	K00018	2.8e-86
k115_30448_length_21105_cov_9.9927_20	K00018	4e-75
k115_139493_length_33313_cov_7.9924_22	K00018	6.4e-65
k115_76715_length_28682_cov_10.0000_16	K00018	4.3e-50
k115_21103_length_29021_cov_13.0000_7	K00018	1.4e-08
k115_104696_length_16612_cov_11.9893_13	K00019	6.9e-57
k115_53482_length_34062_cov_7.9967_18	K00019	6.2e-53
k115_70096_length_16606_cov_12.9767_7	K00019	2.5e-52
k115_79374_length_30377_cov_10.9894_21	K00019	4.2e-40
k115_106965_length_28295_cov_7.9960_27	K00019	2.5e-39
k115_12967_length_34608_cov_10.0688_7	K00019	3.3e-09
k115_30110_length_13560_cov_8.9905_2	K00019	1e-06
k115_98633_length_23198_cov_7.0000_14	K00020	3.6e-13
k115_33000_length_21864_cov_9.9868_6	K00020	2e-08
k115_21103_length_29021_cov_13.0000_7	K00020	1.4e-07
k115_76715_length_28682_cov_10.0000_16	K00020	8.8e-07
k115_139493_length_33313_cov_7.9924_23	K00020	6.3e-06
k115_9855_length_11620_cov_9.9851_7	K00020	7.5e-06
k115_104696_length_16612_cov_11.9893_13	K00023	9.2e-83
k115_70096_length_16606_cov_12.9767_7	K00023	7.8e-67
k115_53482_length_34062_cov_7.9967_18	K00023	1.2e-62
k115_79374_length_30377_cov_10.9894_21	K00023	4.7e-37
k115_106965_length_28295_cov_7.9960_27	K00023	9.9e-24
k115_12967_length_34608_cov_10.0688_7	K00023	3.9e-08
k115_129299_length_53789_cov_8.9952_45	K00024	1.5e-101
k115_129299_length_53789_cov_8.9952_44	K00027	1.3e-143
k115_129299_length_53789_cov_8.9952_44	K00029	1.3e-100
k115_30448_length_21105_cov_9.9927_6	K00030	4.1e-48
k115_70092_length_31410_cov_9.8347_25	K00031	1.9e-159
k115_30448_length_21105_cov_9.9927_6	K00031	3.4e-50
k115_1900_length_36792_cov_11.4640_19	K00032	5.2e-66
k115_139493_length_33313_cov_7.9924_23	K00032	7.5e-61
k115_139493_length_33313_cov_7.9924_22	K00032	2.8e-45
k115_30448_length_21105_cov_9.9927_20	K00032	1.1e-43
k115_76715_length_28682_cov_10.0000_16	K00032	8.4e-39
k115_21103_length_29021_cov_13.0000_7	K00032	1.1e-06
k115_109214_length_3557_cov_10.8158_1	K00033	4.6e-06
k115_104696_length_16612_cov_11.9893_13	K00034	4.2e-78
k115_53482_length_34062_cov_7.9967_18	K00034	4e-74
k115_70096_length_16606_cov_12.9767_7	K00034	3.4e-72
k115_79374_length_30377_cov_10.9894_21	K00034	5.2e-54
k115_106965_length_28295_cov_7.9960_27	K00034	2.2e-35
k115_12967_length_34608_cov_10.0688_7	K00034	4.2e-09
k115_3301_length_53187_cov_10.9977_23	K00035	4.1e-14
k115_97243_length_9414_cov_10.9828_2	K00035	1.5e-13
k115_104696_length_16612_cov_11.9893_13	K00038	1.7e-69
k115_53482_length_34062_cov_7.9967_18	K00038	2.6e-68
k115_70096_length_16606_cov_12.9767_7	K00038	2.6e-64
k115_79374_length_30377_cov_10.9894_21	K00038	5.3e-50
k115_106965_length_28295_cov_7.9960_27	K00038	7.8e-31
k115_12967_length_34608_cov_10.0688_7	K00038	2.5e-06
k115_70096_length_16606_cov_12.9767_7	K00039	7.9e-39
k115_53482_length_34062_cov_7.9967_18	K00039	4.1e-33
k115_104696_length_16612_cov_11.9893_13	K00039	1.6e-31
k115_106965_length_28295_cov_7.9960_27	K00039	1.8e-23
k115_79374_length_30377_cov_10.9894_21	K00039	1.5e-20
k115_98633_length_23198_cov_7.0000_14	K00042	7.5e-12
k115_33000_length_21864_cov_9.9868_6	K00042	1.4e-06
k115_59805_length_16970_cov_9.9829_7	K00043	5.1e-70
k115_76420_length_3088_cov_10.8890_2	K00043	1.4e-69
k115_70092_length_31410_cov_9.8347_14	K00043	1e-67
k115_114430_length_18685_cov_8.0000_5	K00043	7.8e-65
k115_129299_length_53789_cov_8.9952_35	K00043	4.9e-06
k115_114430_length_18685_cov_8.0000_5	K00048	6.4e-79
k115_70092_length_31410_cov_9.8347_14	K00048	7.6e-79
k115_76420_length_3088_cov_10.8890_2	K00048	1.4e-71
k115_59805_length_16970_cov_9.9829_7	K00048	1.8e-59
k115_139493_length_33313_cov_7.9924_23	K00049	8e-35
k115_30448_length_21105_cov_9.9927_20	K00049	5e-28
k115_1900_length_36792_cov_11.4640_19	K00049	5.7e-28
k115_76715_length_28682_cov_10.0000_16	K00049	4.2e-23
k115_139493_length_33313_cov_7.9924_22	K00049	3e-18
k115_1900_length_36792_cov_11.4640_19	K00050	6.5e-64
k115_139493_length_33313_cov_7.9924_23	K00050	1.6e-58
k115_30448_length_21105_cov_9.9927_20	K00050	2.2e-51
k115_139493_length_33313_cov_7.9924_22	K00050	1.2e-44
k115_76715_length_28682_cov_10.0000_16	K00050	6e-31
k115_30448_length_21105_cov_9.9927_6	K00052	5.9e-159
k115_70092_length_31410_cov_9.8347_25	K00052	7.3e-16
k115_9855_length_11620_cov_9.9851_7	K00053	7.2e-151
k115_139493_length_33313_cov_7.9924_1	K00057	3.1e-113
k115_11271_length_43568_cov_8.0000_1	K00057	6.3e-15
k115_98633_length_23198_cov_7.0000_14	K00057	2.2e-07
k115_30110_length_13560_cov_8.9905_5	K00057	2.3e-07
k115_148009_length_19870_cov_8.9935_9	K00057	6.6e-06
k115_139493_length_33313_cov_7.9924_23	K00058	7.6e-108
k115_1900_length_36792_cov_11.4640_19	K00058	6.3e-106
k115_76715_length_28682_cov_10.0000_16	K00058	5.1e-98
k115_30448_length_21105_cov_9.9927_20	K00058	2.8e-93
k115_139493_length_33313_cov_7.9924_22	K00058	4.2e-92
k115_21103_length_29021_cov_13.0000_7	K00058	1e-11
k115_104696_length_16612_cov_11.9893_13	K00059	9e-100
k115_70096_length_16606_cov_12.9767_7	K00059	5.4e-93
k115_53482_length_34062_cov_7.9967_18	K00059	3.4e-87
k115_79374_length_30377_cov_10.9894_21	K00059	2.7e-64
k115_106965_length_28295_cov_7.9960_27	K00059	1.2e-45
k115_92691_length_4109_cov_23.1597_3	K00059	2.5e-11
k115_12967_length_34608_cov_10.0688_7	K00059	7.8e-11
k115_65662_length_12425_cov_10.9870_2	K00059	4e-10
k115_30110_length_13560_cov_8.9905_2	K00059	3.5e-08
k115_79374_length_30377_cov_10.9894_15	K00059	1.2e-07
k115_98946_length_3234_cov_13.9333_1	K00064	2.6e-42
k115_53482_length_34062_cov_7.9967_18	K00065	4.4e-75
k115_104696_length_16612_cov_11.9893_13	K00065	5.9e-75
k115_70096_length_16606_cov_12.9767_7	K00065	2.1e-72
k115_79374_length_30377_cov_10.9894_21	K00065	4.2e-56
