gene 	 KO 	 Evalue
k141_4014_6	K00002	2.6e-41
k141_29996_1	K00002	4.4e-18
k141_54398_7	K00003	2.2e-146
k141_299_3	K00008	4.1e-06
k141_1089_1	K00010	1e-59
k141_2808_7	K00010	3.1e-20
k141_26589_3	K00010	1.2e-06
k141_72352_11	K00010	3.3e-06
k141_4354_3	K00012	4.2e-138
k141_4354_5	K00012	6.9e-66
k141_4354_2	K00012	9.2e-43
k141_35559_3	K00013	6.3e-175
k141_5473_20	K00014	6.9e-82
k141_28678_3	K00014	3.3e-08
k141_49282_2	K00014	2.9e-06
k141_5621_11	K00015	7.7e-91
k141_49598_4	K00015	1.7e-64
k141_12301_4	K00016	9.1e-72
k141_49598_4	K00018	3.4e-96
k141_5621_11	K00018	3e-74
k141_35417_6	K00018	5e-09
k141_70542_25	K00019	5.4e-42
k141_2260_16	K00019	4.2e-41
k141_59744_21	K00019	5.1e-34
k141_44435_15	K00019	2.3e-09
k141_57743_4	K00019	2.8e-06
k141_59744_20	K00019	6e-06
k141_44435_14	K00019	7.1e-06
k141_72352_11	K00020	1.9e-14
k141_4354_5	K00020	5.3e-10
k141_15720_7	K00020	8.4e-08
k141_28678_3	K00020	1.7e-07
k141_59744_21	K00023	3.2e-72
k141_2260_16	K00023	9.5e-70
k141_70542_25	K00023	7e-37
k141_44435_14	K00023	2.8e-10
k141_57743_4	K00023	1.8e-08
k141_44435_15	K00023	2.3e-07
k141_12301_4	K00024	2.7e-103
k141_72111_3	K00027	2.1e-135
k141_69926_8	K00027	1.1e-83
k141_69926_9	K00027	7e-25
k141_69926_10	K00027	3.9e-20
k141_69926_11	K00027	1.5e-13
k141_72111_3	K00029	1.3e-104
k141_69926_8	K00029	6e-84
k141_69926_9	K00029	2.2e-29
k141_69926_10	K00029	3e-18
k141_69926_11	K00029	8.2e-13
k141_16345_8	K00030	2.6e-48
k141_16345_8	K00031	1.3e-44
k141_12301_3	K00031	5.9e-30
k141_12301_2	K00031	1.2e-16
k141_12301_1	K00031	1.4e-09
k141_5621_11	K00032	1e-56
k141_49598_4	K00032	1.4e-41
k141_4354_5	K00033	7.4e-06
k141_59744_21	K00034	1.7e-64
k141_2260_16	K00034	5.7e-63
k141_70542_25	K00034	5.9e-44
k141_44435_14	K00034	7.6e-19
k141_44435_15	K00034	5e-14
k141_57743_4	K00034	1e-12
k141_59744_20	K00034	1.7e-07
k141_28678_3	K00034	6.8e-07
k141_1089_1	K00035	1.2e-20
k141_2808_7	K00035	5.8e-12
k141_59744_21	K00038	2e-56
k141_2260_16	K00038	4.6e-53
k141_70542_25	K00038	2.8e-39
k141_44435_14	K00038	1.5e-15
k141_44435_15	K00038	3.2e-09
k141_57743_4	K00038	4e-08
k141_28678_3	K00038	1.9e-07
k141_59744_20	K00038	1.2e-06
k141_70542_25	K00039	4.8e-49
k141_2260_16	K00039	1.1e-26
k141_59744_21	K00039	1.5e-19
k141_28678_3	K00039	1e-08
k141_57743_4	K00039	3e-07
k141_37142_1	K00039	5.5e-06
k141_72352_11	K00042	4.9e-10
k141_4354_5	K00042	1.7e-09
k141_15720_7	K00042	5.4e-07
k141_28678_3	K00042	4.4e-06
k141_5621_11	K00049	5.6e-36
k141_49598_4	K00049	6e-16
k141_5621_11	K00050	5e-51
k141_49598_4	K00050	4.4e-42
k141_16345_8	K00052	6.5e-98
k141_26589_3	K00053	3e-156
k141_20314_2	K00057	1.6e-95
k141_5621_11	K00058	2.5e-119
k141_49598_4	K00058	2.4e-74
k141_2260_16	K00059	2.1e-79
k141_59744_21	K00059	6.3e-75
k141_70542_25	K00059	5.2e-51
k141_44435_14	K00059	1.1e-21
k141_44435_15	K00059	5.2e-18
