gene 	 KO 	 Evalue
k113_122847_length_2803_cov_6.0000_4	K00001	2.7e-35
k113_41560_length_4920_cov_7.0000_3	K00001	5.7e-29
k113_76135_length_6101_cov_8.0000_2	K00001	1.9e-24
k113_16397_length_3834_cov_6.0000_1	K00001	3.3e-19
k113_111263_length_22847_cov_7.0000_9	K00002	7.9e-53
k113_32412_length_9834_cov_7.0000_3	K00003	5.5e-140
k113_180_length_4969_cov_6.0000_4	K00003	5.5e-06
k113_9969_length_2146_cov_6.0000_2	K00003	6.6e-06
k113_122847_length_2803_cov_6.0000_4	K00004	3.6e-47
k113_16397_length_3834_cov_6.0000_1	K00004	5.4e-40
k113_89518_length_5877_cov_8.0000_4	K00004	9.9e-07
k113_72912_length_3509_cov_5.0000_2	K00005	7.9e-17
k113_76135_length_6101_cov_8.0000_2	K00005	1e-16
k113_41560_length_4920_cov_7.0000_3	K00005	5.1e-08
k113_122847_length_2803_cov_6.0000_4	K00008	5.8e-51
k113_16397_length_3834_cov_6.0000_1	K00008	8.5e-41
k113_89518_length_5877_cov_8.0000_4	K00008	2.5e-07
k113_54272_length_14002_cov_7.0000_11	K00010	1.1e-72
k113_9969_length_2146_cov_6.0000_2	K00010	4.5e-47
k113_6973_length_2241_cov_6.0000_1	K00010	7.9e-30
k113_125145_length_5150_cov_8.0000_3	K00010	4.8e-08
k113_2009_length_3673_cov_9.0000_1	K00010	7.9e-06
k113_65810_length_14628_cov_6.0000_4	K00012	4.4e-176
k113_54272_length_14002_cov_7.0000_10	K00012	2.5e-75
k113_32412_length_9834_cov_7.0000_12	K00012	2.4e-07
k113_50553_length_4286_cov_7.0000_3	K00012	8e-06
k113_58536_length_1858_cov_8.0000_2	K00013	4.3e-190
k113_26319_length_1744_cov_7.0000_2	K00014	6.4e-87
k113_50553_length_4286_cov_7.0000_3	K00014	2.3e-07
k113_15138_length_3544_cov_7.0000_4	K00014	9.5e-07
k113_9969_length_2146_cov_6.0000_2	K00014	3.3e-06
k113_28407_length_4151_cov_9.0000_3	K00015	2.6e-61
k113_15138_length_3544_cov_7.0000_4	K00015	7.7e-07
k113_97764_length_5667_cov_8.0000_4	K00016	1.2e-135
k113_50553_length_4286_cov_7.0000_3	K00016	5e-125
k113_28407_length_4151_cov_9.0000_3	K00018	1.2e-48
k113_15138_length_3544_cov_7.0000_4	K00018	4.1e-06
k113_2009_length_3673_cov_9.0000_1	K00018	7.5e-06
k113_124469_length_7982_cov_7.0000_4	K00019	1.1e-59
k113_118828_length_2325_cov_7.0000_2	K00019	8.6e-59
k113_113516_length_3497_cov_6.0000_5	K00019	8.9e-45
k113_101394_length_5583_cov_7.0000_1	K00019	1.3e-28
k113_120033_length_13448_cov_9.0000_3	K00019	4.2e-08
k113_54272_length_14002_cov_7.0000_10	K00020	3e-10
k113_78260_length_3953_cov_6.0000_2	K00020	4e-09
k113_2009_length_3673_cov_9.0000_1	K00020	3.8e-08
k113_51311_length_2650_cov_7.0000_3	K00020	2.2e-07
k113_12478_length_10532_cov_6.9919_1	K00020	3.6e-07
k113_28407_length_4151_cov_9.0000_3	K00020	2.7e-06
k113_12478_length_10532_cov_6.9919_1	K00022	3.7e-78
k113_124469_length_7982_cov_7.0000_4	K00023	2.3e-88
k113_118828_length_2325_cov_7.0000_2	K00023	1.9e-78
k113_113516_length_3497_cov_6.0000_5	K00023	1e-42
k113_101394_length_5583_cov_7.0000_1	K00023	3.2e-24
k113_120033_length_13448_cov_9.0000_3	K00023	6.3e-07
k113_50553_length_4286_cov_7.0000_3	K00024	9.4e-100
k113_97764_length_5667_cov_8.0000_4	K00024	3.9e-96
k113_32412_length_9834_cov_7.0000_12	K00024	4.4e-08
k113_50553_length_4286_cov_7.0000_4	K00027	5.2e-146
k113_50553_length_4286_cov_7.0000_4	K00029	2.1e-100
k113_105406_length_3891_cov_7.0000_1	K00030	5.3e-40
k113_80948_length_3065_cov_7.0000_1	K00031	1.2e-139
k113_105406_length_3891_cov_7.0000_1	K00031	1.7e-39
k113_41560_length_4920_cov_7.0000_1	K00031	7.9e-20
k113_28407_length_4151_cov_9.0000_3	K00032	2.2e-37
k113_2009_length_3673_cov_9.0000_1	K00033	5.7e-06
k113_124469_length_7982_cov_7.0000_4	K00034	4.3e-86
k113_118828_length_2325_cov_7.0000_2	K00034	7.3e-86
k113_113516_length_3497_cov_6.0000_5	K00034	1.6e-62
k113_101394_length_5583_cov_7.0000_1	K00034	1.7e-39
k113_120033_length_13448_cov_9.0000_3	K00034	8.1e-08
k113_54272_length_14002_cov_7.0000_11	K00035	5.3e-22
k113_9969_length_2146_cov_6.0000_2	K00035	1.6e-15
k113_124469_length_7982_cov_7.0000_4	K00038	1.3e-70
k113_118828_length_2325_cov_7.0000_2	K00038	4.3e-69
k113_113516_length_3497_cov_6.0000_5	K00038	1.2e-54
k113_101394_length_5583_cov_7.0000_1	K00038	5.2e-28
k113_124469_length_7982_cov_7.0000_4	K00039	1.3e-41
k113_118828_length_2325_cov_7.0000_2	K00039	1.1e-40
k113_113516_length_3497_cov_6.0000_5	K00039	1.5e-36
k113_101394_length_5583_cov_7.0000_1	K00039	3e-17
k113_54272_length_14002_cov_7.0000_10	K00042	5.3e-10
k113_78260_length_3953_cov_6.0000_2	K00042	2.2e-07
k113_51311_length_2650_cov_7.0000_3	K00042	1.4e-06
k113_28407_length_4151_cov_9.0000_3	K00042	5.2e-06
k113_2009_length_3673_cov_9.0000_1	K00042	7.6e-06
k113_41560_length_4920_cov_7.0000_3	K00043	3.3e-71
k113_76135_length_6101_cov_8.0000_2	K00043	3.7e-63
k113_72912_length_3509_cov_5.0000_2	K00043	7e-07
k113_76135_length_6101_cov_8.0000_2	K00048	4.3e-83
k113_41560_length_4920_cov_7.0000_3	K00048	4.5e-71
k113_28407_length_4151_cov_9.0000_3	K00049	9.7e-21
k113_28407_length_4151_cov_9.0000_3	K00050	9.6e-33
k113_105406_length_3891_cov_7.0000_1	K00052	1.3e-93
k113_40315_length_1920_cov_9.0000_2	K00052	6.6e-19
k113_80948_length_3065_cov_7.0000_1	K00052	1.5e-12
k113_2009_length_3673_cov_9.0000_1	K00053	3.3e-156
k113_122847_length_2803_cov_6.0000_4	K00055	8e-26
k113_16397_length_3834_cov_6.0000_1	K00055	1.9e-15
k113_23880_length_7853_cov_8.0000_5	K00057	5.4e-86
k113_32412_length_9834_cov_7.0000_12	K00057	3.8e-07
k113_125145_length_5150_cov_8.0000_3	K00057	3.9e-07
k113_12478_length_10532_cov_6.9919_1	K00057	1.1e-06
k113_65810_length_14628_cov_6.0000_4	K00057	2.5e-06
k113_28407_length_4151_cov_9.0000_3	K00058	9.4e-100
k113_15138_length_3544_cov_7.0000_4	K00058	5.3e-08
k113_2009_length_3673_cov_9.0000_1	K00058	1.1e-06
k113_124469_length_7982_cov_7.0000_4	K00059	3e-104
k113_118828_length_2325_cov_7.0000_2	K00059	1.9e-103
k113_113516_length_3497_cov_6.0000_5	K00059	1.4e-73
k113_101394_length_5583_cov_7.0000_1	K00059	2.2e-40
k113_120033_length_13448_cov_9.0000_3	K00059	7.9e-12
k113_119651_length_8239_cov_7.0000_2	K00059	2.3e-10
