gene 	 KO 	 Evalue
k115_77231_length_38228_cov_13.9945_8	K00001	3e-63
k115_82543_length_48357_cov_12.0000_23	K00001	5.8e-60
k115_77231_length_38228_cov_13.9945_5	K00001	6.2e-60
k115_82543_length_48357_cov_12.0000_16	K00001	1.4e-58
k115_82066_length_3292_cov_9.0000_2	K00001	8e-54
k115_82543_length_48357_cov_12.0000_25	K00001	6.9e-53
k115_82543_length_48357_cov_12.0000_20	K00001	1.1e-49
k115_42757_length_16999_cov_12.9751_6	K00001	9.6e-38
k115_71649_length_34269_cov_12.0000_32	K00001	8.2e-37
k115_83306_length_4952_cov_8.9735_2	K00001	5.2e-36
k115_22124_length_8108_cov_9.0000_8	K00001	2.7e-34
k115_10520_length_12671_cov_8.0000_3	K00001	1.2e-26
k115_82066_length_3292_cov_9.0000_1	K00001	1e-24
k115_88516_length_7987_cov_10.0000_1	K00001	1.5e-22
k115_37155_length_20739_cov_11.0000_20	K00001	4e-18
k115_18695_length_16445_cov_12.9882_13	K00001	1.1e-13
k115_32573_length_2591_cov_7.0000_3	K00001	8.1e-12
k115_15220_length_23855_cov_15.0000_6	K00001	8e-07
k115_45014_length_35939_cov_14.0000_13	K00001	1.4e-06
k115_56165_length_30125_cov_10.0000_2	K00001	3e-06
k115_27764_length_10966_cov_9.0000_1	K00002	7.9e-69
k115_61481_length_23559_cov_12.9918_17	K00002	1.7e-11
k115_438_length_5423_cov_14.8971_3	K00003	1.1e-165
k115_22049_length_23823_cov_8.0000_14	K00003	4e-07
k115_77231_length_38228_cov_13.9945_8	K00004	3e-101
k115_82543_length_48357_cov_12.0000_16	K00004	5.5e-98
k115_82543_length_48357_cov_12.0000_23	K00004	1.3e-94
k115_82543_length_48357_cov_12.0000_25	K00004	4.6e-90
k115_82543_length_48357_cov_12.0000_20	K00004	1.4e-89
k115_77231_length_38228_cov_13.9945_5	K00004	1.3e-88
k115_82066_length_3292_cov_9.0000_2	K00004	5.6e-77
k115_10520_length_12671_cov_8.0000_3	K00004	9.4e-33
k115_18695_length_16445_cov_12.9882_13	K00004	1.5e-31
k115_88516_length_7987_cov_10.0000_1	K00004	3.3e-30
k115_37155_length_20739_cov_11.0000_20	K00004	1.2e-24
k115_58361_length_8008_cov_12.9757_3	K00004	4e-09
k115_56165_length_30125_cov_10.0000_2	K00004	5.4e-07
k115_16300_length_21791_cov_8.9941_4	K00004	2.2e-06
k115_18366_length_25523_cov_10.0000_24	K00005	2.2e-148
k115_47330_length_35746_cov_11.9951_35	K00005	2.2e-106
k115_61481_length_23559_cov_12.9918_20	K00005	9.6e-106
k115_84189_length_8501_cov_10.6815_4	K00005	1.7e-24
k115_61481_length_23559_cov_12.9918_10	K00005	3.9e-23
k115_71649_length_34269_cov_12.0000_32	K00005	5.5e-22
k115_83306_length_4952_cov_8.9735_2	K00005	1.9e-21
k115_42757_length_16999_cov_12.9751_6	K00005	1.6e-20
k115_22124_length_8108_cov_9.0000_8	K00005	1e-18
k115_32573_length_2591_cov_7.0000_3	K00005	5.5e-14
k115_82066_length_3292_cov_9.0000_1	K00005	3.1e-13
k115_90152_length_21193_cov_10.0000_18	K00005	8e-08
k115_34204_length_11722_cov_8.0000_1	K00007	1.3e-24
k115_71649_length_34269_cov_12.0000_33	K00007	5.9e-12
k115_39018_length_12355_cov_12.0000_15	K00007	1.5e-06
k115_77231_length_38228_cov_13.9945_8	K00008	1.2e-121
k115_82543_length_48357_cov_12.0000_25	K00008	2.1e-111
k115_82543_length_48357_cov_12.0000_23	K00008	1.1e-110
k115_82543_length_48357_cov_12.0000_20	K00008	7.8e-109
k115_82543_length_48357_cov_12.0000_16	K00008	2.5e-107
k115_77231_length_38228_cov_13.9945_5	K00008	1.3e-95
k115_82066_length_3292_cov_9.0000_2	K00008	6.7e-94
k115_10520_length_12671_cov_8.0000_3	K00008	8.4e-43
k115_88516_length_7987_cov_10.0000_1	K00008	1.5e-39
k115_18695_length_16445_cov_12.9882_13	K00008	8.2e-39
k115_37155_length_20739_cov_11.0000_20	K00008	1.3e-30
k115_56165_length_30125_cov_10.0000_2	K00008	3.6e-08
k115_58361_length_8008_cov_12.9757_3	K00008	4.9e-08
k115_15220_length_23855_cov_15.0000_6	K00008	3.8e-06
k115_34204_length_11722_cov_8.0000_1	K00009	5.6e-150
