gene 	 KO 	 Evalue
k115_15037_length_87906_cov_24.1926_39	K00001	5e-38
k115_136078_length_175867_cov_26.0000_49	K00001	9e-37
k115_98985_length_252875_cov_21.0027_114	K00001	1e-22
k115_8022_length_113641_cov_22.8797_77	K00001	3.4e-22
k115_13304_length_142043_cov_27.1327_29	K00001	3.7e-21
k115_126632_length_478063_cov_24.0237_338	K00001	3.1e-20
k115_77576_length_241339_cov_22.0350_203	K00002	1.2e-58
k115_77576_length_241339_cov_22.0350_194	K00002	6.9e-07
k115_9516_length_109505_cov_25.0577_51	K00003	1e-143
k115_98985_length_252875_cov_21.0027_178	K00003	9.8e-06
k115_98985_length_252875_cov_21.0027_114	K00004	1.1e-32
k115_143220_length_86428_cov_21.9922_70	K00004	9.8e-07
k115_136078_length_175867_cov_26.0000_49	K00005	9.2e-26
k115_15037_length_87906_cov_24.1926_39	K00005	5.9e-20
k115_8022_length_113641_cov_22.8797_77	K00005	3.9e-18
k115_126632_length_478063_cov_24.0237_338	K00005	1.8e-16
k115_9516_length_109505_cov_25.0577_92	K00005	1.4e-14
k115_13304_length_142043_cov_27.1327_29	K00005	1.5e-09
k115_98985_length_252875_cov_21.0027_114	K00008	3.3e-35
k115_138574_length_111092_cov_22.9937_83	K00008	5.5e-06
k115_77576_length_241339_cov_22.0350_62	K00010	5.1e-06
k115_77576_length_241339_cov_22.0350_79	K00012	7.9e-07
k115_13304_length_142043_cov_27.1327_9	K00012	7e-06
k115_138574_length_111092_cov_22.9937_77	K00013	7.8e-192
k115_126632_length_478063_cov_24.0237_122	K00014	2.3e-87
k115_138574_length_111092_cov_22.9937_83	K00014	3.8e-07
k115_133525_length_91258_cov_29.0699_40	K00014	2.1e-06
k115_126746_length_101307_cov_26.7663_32	K00015	1.2e-85
k115_8022_length_113641_cov_22.8797_89	K00015	1.3e-79
k115_98985_length_252875_cov_21.0027_109	K00015	1.2e-60
k115_13304_length_142043_cov_27.1327_35	K00015	4.3e-07
k115_136078_length_175867_cov_26.0000_80	K00016	2.1e-130
k115_126746_length_101307_cov_26.7663_32	K00018	6.7e-120
k115_8022_length_113641_cov_22.8797_89	K00018	4.9e-85
k115_98985_length_252875_cov_21.0027_109	K00018	2.8e-49
k115_138574_length_111092_cov_22.9937_83	K00018	6.3e-06
k115_9516_length_109505_cov_25.0577_63	K00019	3e-59
k115_133525_length_91258_cov_29.0699_23	K00019	1.5e-50
k115_135099_length_117715_cov_24.8703_79	K00019	1.4e-38
k115_136078_length_175867_cov_26.0000_125	K00019	7.4e-38
k115_105108_length_61433_cov_21.9945_7	K00019	1.8e-08
k115_135099_length_117715_cov_24.8703_51	K00019	7.3e-07
k115_13304_length_142043_cov_27.1327_35	K00020	8.7e-09
k115_126632_length_478063_cov_24.0237_115	K00020	8.3e-08
k115_98985_length_252875_cov_21.0027_109	K00020	1.4e-07
k115_77576_length_241339_cov_22.0350_62	K00020	4.4e-07
k115_77576_length_241339_cov_22.0350_79	K00020	1.3e-06
k115_126632_length_478063_cov_24.0237_155	K00020	1.7e-06
k115_8022_length_113641_cov_22.8797_89	K00020	5.8e-06
k115_77576_length_241339_cov_22.0350_62	K00022	1.5e-65
k115_9516_length_109505_cov_25.0577_63	K00023	8.4e-86
k115_133525_length_91258_cov_29.0699_23	K00023	1.2e-65
k115_135099_length_117715_cov_24.8703_79	K00023	2.3e-31
k115_136078_length_175867_cov_26.0000_125	K00023	1.1e-29
k115_105108_length_61433_cov_21.9945_7	K00023	1.6e-08
k115_136078_length_175867_cov_26.0000_80	K00024	1.3e-93
k115_77576_length_241339_cov_22.0350_62	K00024	9.1e-06
k115_98985_length_252875_cov_21.0027_198	K00027	1.7e-139
k115_98985_length_252875_cov_21.0027_198	K00029	4.5e-82
k115_98985_length_252875_cov_21.0027_113	K00030	2.8e-52
k115_133525_length_91258_cov_29.0699_10	K00030	7.2e-06
k115_133525_length_91258_cov_29.0699_10	K00031	2e-162
k115_98985_length_252875_cov_21.0027_113	K00031	4e-51
k115_126746_length_101307_cov_26.7663_32	K00032	8.9e-61
k115_8022_length_113641_cov_22.8797_89	K00032	2.1e-53
k115_98985_length_252875_cov_21.0027_109	K00032	9.5e-35
k115_9516_length_109505_cov_25.0577_63	K00034	8e-81
k115_133525_length_91258_cov_29.0699_23	K00034	4e-74
k115_135099_length_117715_cov_24.8703_79	K00034	7.5e-38
k115_136078_length_175867_cov_26.0000_125	K00034	3.3e-35
k115_105108_length_61433_cov_21.9945_7	K00034	1.2e-09
k115_9516_length_109505_cov_25.0577_63	K00038	9.1e-67
k115_133525_length_91258_cov_29.0699_23	K00038	8.3e-55
k115_135099_length_117715_cov_24.8703_79	K00038	6e-33
k115_136078_length_175867_cov_26.0000_125	K00038	1.3e-26
k115_105108_length_61433_cov_21.9945_7	K00038	4.1e-07
k115_133525_length_91258_cov_29.0699_23	K00039	1.5e-36
k115_9516_length_109505_cov_25.0577_63	K00039	1.4e-34
k115_136078_length_175867_cov_26.0000_125	K00039	5.7e-32
k115_135099_length_117715_cov_24.8703_79	K00039	1.4e-30
k115_98985_length_252875_cov_21.0027_109	K00042	7.6e-07
k115_13304_length_142043_cov_27.1327_35	K00042	2.7e-06
k115_136078_length_175867_cov_26.0000_49	K00043	1.3e-88
k115_15037_length_87906_cov_24.1926_39	K00043	1.2e-83
k115_13304_length_142043_cov_27.1327_29	K00043	4.4e-54
k115_126632_length_478063_cov_24.0237_338	K00043	8e-47
k115_8022_length_113641_cov_22.8797_77	K00043	6.6e-41
k115_126746_length_101307_cov_26.7663_52	K00043	4.3e-10
k115_15037_length_87906_cov_24.1926_39	K00048	1.6e-170
k115_136078_length_175867_cov_26.0000_49	K00048	7.6e-95
k115_13304_length_142043_cov_27.1327_29	K00048	5.6e-71
k115_8022_length_113641_cov_22.8797_77	K00048	2.3e-48
k115_126632_length_478063_cov_24.0237_338	K00048	2.4e-44
k115_126746_length_101307_cov_26.7663_52	K00048	2.2e-10
k115_126746_length_101307_cov_26.7663_32	K00049	1.7e-41
k115_8022_length_113641_cov_22.8797_89	K00049	1.8e-28
k115_98985_length_252875_cov_21.0027_109	K00049	3.5e-20
k115_126746_length_101307_cov_26.7663_32	K00050	6.6e-56
k115_8022_length_113641_cov_22.8797_89	K00050	2.5e-50
k115_98985_length_252875_cov_21.0027_109	K00050	7.1e-32
k115_98985_length_252875_cov_21.0027_113	K00052	1.4e-155
k115_133525_length_91258_cov_29.0699_10	K00052	3.8e-15
k115_126632_length_478063_cov_24.0237_115	K00053	2.4e-152
k115_98985_length_252875_cov_21.0027_114	K00055	1.1e-07
k115_77576_length_241339_cov_22.0350_79	K00057	8.6e-137
k115_13304_length_142043_cov_27.1327_35	K00057	2.9e-06
k115_126632_length_478063_cov_24.0237_155	K00057	9.9e-06
k115_98985_length_252875_cov_21.0027_109	K00058	1.9e-100
k115_126746_length_101307_cov_26.7663_32	K00058	8.7e-95
k115_8022_length_113641_cov_22.8797_89	K00058	8.1e-88
k115_9516_length_109505_cov_25.0577_63	K00059	7.4e-102
k115_133525_length_91258_cov_29.0699_23	K00059	1.2e-84
k115_135099_length_117715_cov_24.8703_79	K00059	4.1e-49
k115_136078_length_175867_cov_26.0000_125	K00059	2.2e-43
k115_105108_length_61433_cov_21.9945_7	K00059	3.4e-14
k115_77924_length_9492_cov_25.9573_2	K00059	2.6e-06
k115_135099_length_117715_cov_24.8703_51	K00059	3.6e-06
k115_101623_length_116245_cov_21.9828_23	K00059	9.7e-06
k115_98985_length_252875_cov_21.0027_114	K00060	4e-29
k115_77576_length_241339_cov_22.0350_194	K00064	4.8e-39
k115_77576_length_241339_cov_22.0350_203	K00064	9.5e-25
k115_9516_length_109505_cov_25.0577_63	K00065	4.7e-81
k115_133525_length_91258_cov_29.0699_23	K00065	1.1e-70
k115_135099_length_117715_cov_24.8703_79	K00065	6.6e-41
k115_136078_length_175867_cov_26.0000_125	K00065	5.6e-35
k115_105108_length_61433_cov_21.9945_7	K00065	3.1e-10
k115_135099_length_117715_cov_24.8703_51	K00067	5.6e-100
k115_135099_length_117715_cov_24.8703_52	K00067	9.2e-33
k115_105108_length_61433_cov_21.9945_7	K00067	6.8e-25
k115_77924_length_9492_cov_25.9573_2	K00067	2.5e-23
k115_36777_length_73838_cov_26.9887_13	K00067	3.3e-19
k115_101623_length_116245_cov_21.9828_23	K00067	2.7e-18
k115_8022_length_113641_cov_22.8797_19	K00067	1.5e-11
k115_36777_length_73838_cov_26.9887_10	K00067	1.9e-11
k115_9516_length_109505_cov_25.0577_63	K00068	1.2e-60
k115_133525_length_91258_cov_29.0699_23	K00068	1.1e-42
k115_135099_length_117715_cov_24.8703_79	K00068	3.4e-24
k115_136078_length_175867_cov_26.0000_125	K00068	3.3e-22
k115_105108_length_61433_cov_21.9945_7	K00068	2.1e-06
k115_77576_length_241339_cov_22.0350_62	K00074	8.5e-119
k115_77576_length_241339_cov_22.0350_79	K00074	5.1e-07
k115_138574_length_111092_cov_22.9937_83	K00074	2e-06
k115_9516_length_109505_cov_25.0577_44	K00075	2.2e-120
k115_135099_length_117715_cov_24.8703_3	K00077	8.3e-68
k115_77576_length_241339_cov_22.0350_79	K00077	5e-09
k115_9516_length_109505_cov_25.0577_63	K00079	2.1e-11
k115_135099_length_117715_cov_24.8703_79	K00079	7.5e-06
k115_70032_length_199967_cov_23.8588_118	K00082	5.6e-44
k115_9516_length_109505_cov_25.0577_63	K00084	2.3e-10
k115_135099_length_117715_cov_24.8703_79	K00084	2.6e-08
k115_136078_length_175867_cov_26.0000_49	K00086	1.7e-124
k115_15037_length_87906_cov_24.1926_39	K00086	2.3e-118
k115_13304_length_142043_cov_27.1327_29	K00086	6.2e-86
k115_126632_length_478063_cov_24.0237_338	K00086	8.7e-71
k115_8022_length_113641_cov_22.8797_77	K00086	8.3e-64
k115_126746_length_101307_cov_26.7663_52	K00086	1.4e-11
k115_98985_length_252875_cov_21.0027_24	K00088	2.2e-223
k115_15037_length_87906_cov_24.1926_26	K00088	1.1e-08
k115_105108_length_61433_cov_21.9945_27	K00088	1.6e-07
k115_126632_length_478063_cov_24.0237_384	K00088	1.2e-06
k115_126746_length_101307_cov_26.7663_32	K00090	1e-65
k115_8022_length_113641_cov_22.8797_89	K00090	1.6e-61
k115_98985_length_252875_cov_21.0027_109	K00090	6e-45
k115_13304_length_142043_cov_27.1327_35	K00090	5.8e-06
k115_15037_length_87906_cov_24.1926_39	K00093	1e-77
k115_136078_length_175867_cov_26.0000_49	K00093	1e-72
k115_13304_length_142043_cov_27.1327_29	K00093	9.8e-54
k115_126632_length_478063_cov_24.0237_338	K00093	8e-33
k115_8022_length_113641_cov_22.8797_77	K00093	1.6e-31
k115_98985_length_252875_cov_21.0027_114	K00094	5.5e-10
k115_9516_length_109505_cov_25.0577_92	K00096	9.4e-17
k115_136078_length_175867_cov_26.0000_49	K00096	3.1e-15
k115_8022_length_113641_cov_22.8797_77	K00096	2.4e-10
k115_15037_length_87906_cov_24.1926_39	K00096	3.9e-10
k115_126632_length_478063_cov_24.0237_338	K00096	1.5e-08
k115_126746_length_101307_cov_26.7663_52	K00096	1.5e-07
k115_13304_length_142043_cov_27.1327_29	K00096	2.6e-06
k115_98985_length_252875_cov_21.0027_114	K00098	4.1e-28
k115_98985_length_252875_cov_21.0027_178	K00099	1.7e-167
k115_126632_length_478063_cov_24.0237_338	K00100	2.1e-132
k115_136078_length_175867_cov_26.0000_49	K00100	5.6e-78
k115_15037_length_87906_cov_24.1926_39	K00100	3e-65
k115_8022_length_113641_cov_22.8797_77	K00100	2.2e-59
k115_13304_length_142043_cov_27.1327_29	K00100	4.8e-48
k115_126746_length_101307_cov_26.7663_52	K00100	5.9e-06
k115_98985_length_252875_cov_21.0027_24	K00101	8.8e-07
k115_9516_length_109505_cov_25.0577_44	K00104	8.2e-10
k115_133525_length_91258_cov_29.0699_42	K00108	1.2e-06
k115_138574_length_111092_cov_22.9937_64	K00108	1.7e-06
k115_138574_length_111092_cov_22.9937_64	K00111	1.4e-11
k115_143220_length_86428_cov_21.9922_31	K00111	2.2e-07
k115_133525_length_91258_cov_29.0699_42	K00111	1.5e-06
k115_70032_length_199967_cov_23.8588_22	K00111	3.4e-06
k115_143220_length_86428_cov_21.9922_70	K00111	6.3e-06
k115_22251_length_77634_cov_24.9839_15	K00111	7.6e-06
k115_138574_length_111092_cov_22.9937_64	K00112	2.5e-16
k115_70032_length_199967_cov_23.8588_22	K00112	1.7e-12
k115_143220_length_86428_cov_21.9922_32	K00112	1.5e-09
