gene 	 KO 	 Evalue
k141_64485_7	K00001	1.3e-27
k141_48468_1	K00001	1.2e-24
k141_8919_3	K00001	5.8e-17
k141_39867_20	K00001	2.1e-06
k141_26338_4	K00002	2.8e-63
k141_8919_3	K00004	8.3e-23
k141_76769_7	K00004	9.7e-09
k141_64485_7	K00005	1.1e-11
k141_48468_1	K00005	1.6e-10
k141_83735_1	K00007	2.3e-47
k141_72180_6	K00007	3.3e-36
k141_8919_3	K00008	3.6e-26
k141_39867_20	K00008	1.3e-07
k141_76769_7	K00008	3.8e-07
k141_59101_4	K00008	5.1e-06
k141_67611_3	K00008	8.4e-06
k141_83735_1	K00009	1.2e-21
k141_72180_6	K00009	1.2e-07
k141_19660_3	K00010	9.6e-61
k141_59101_4	K00012	1.5e-09
k141_26338_3	K00012	1.5e-07
k141_71185_14	K00012	5.1e-07
k141_39867_23	K00014	1.3e-97
k141_41795_10	K00014	6.6e-07
k141_39867_20	K00014	4.1e-06
k141_10263_3	K00014	6.4e-06
k141_35771_8	K00015	2.5e-83
k141_62424_15	K00015	1.5e-77
k141_9053_3	K00015	8.6e-34
k141_9053_2	K00015	5.9e-09
k141_9053_4	K00015	1.6e-08
k141_41795_10	K00016	1.8e-103
k141_35771_8	K00018	1.4e-88
k141_62424_15	K00018	4.4e-72
k141_9053_3	K00018	2.9e-31
k141_3052_4	K00018	1.8e-07
k141_9053_2	K00018	2.1e-06
k141_41219_6	K00019	7.1e-56
k141_41795_3	K00019	2.1e-29
k141_13436_7	K00019	4.4e-14
k141_26239_10	K00019	1e-08
k141_62095_9	K00019	2.9e-07
k141_26338_3	K00020	5.3e-08
k141_35771_8	K00020	6.4e-08
k141_25464_1	K00020	1.2e-07
k141_27864_10	K00020	8.6e-07
k141_82645_4	K00020	1.6e-06
k141_9053_3	K00020	2.5e-06
k141_71185_14	K00020	9e-06
k141_59101_4	K00022	6.3e-10
k141_41219_6	K00023	7.6e-71
k141_41795_3	K00023	4.6e-21
k141_13436_7	K00023	2.8e-17
k141_26239_10	K00023	2.8e-08
k141_41795_10	K00024	6.3e-87
k141_62095_9	K00024	2.8e-08
k141_80886_2	K00027	9.7e-147
k141_80886_2	K00029	2e-99
k141_66836_2	K00030	1.1e-45
k141_21061_4	K00030	1.1e-07
k141_21061_4	K00031	7.8e-122
k141_66836_2	K00031	3.7e-45
k141_21061_3	K00031	9.9e-22
k141_35771_8	K00032	6.7e-55
k141_62424_15	K00032	3.4e-44
k141_9053_3	K00032	7.1e-23
k141_26338_3	K00033	4.2e-08
k141_71185_14	K00033	8.7e-06
k141_41219_6	K00034	2.4e-80
k141_41795_3	K00034	6.4e-31
k141_13436_7	K00034	4.4e-23
k141_26239_10	K00034	4.4e-09
k141_62095_9	K00034	6.7e-06
k141_19660_3	K00035	7.7e-13
k141_41219_6	K00038	8e-73
k141_41795_3	K00038	2.3e-27
k141_13436_7	K00038	1.1e-11
k141_26239_10	K00038	1.3e-06
k141_41219_6	K00039	1.1e-39
k141_41795_3	K00039	8.1e-28
k141_13436_7	K00039	3e-08
k141_72180_6	K00040	1.3e-90
k141_83735_1	K00040	2.1e-67
k141_72180_5	K00040	8.9e-12
k141_83735_1	K00041	4e-181
k141_72180_6	K00041	1.4e-27
k141_27864_10	K00042	7e-06
k141_64485_7	K00043	2.4e-61
k141_48468_1	K00043	5.5e-45
k141_48468_2	K00043	1.6e-07
k141_83735_1	K00045	1.6e-54
k141_72180_6	K00045	1.6e-47
k141_64485_7	K00048	4.5e-73
k141_48468_1	K00048	4.9e-63
k141_48468_2	K00048	9.9e-06
k141_62424_15	K00049	1.8e-31
k141_35771_8	K00049	3.2e-29
k141_9053_3	K00049	9.5e-08
k141_35771_8	K00050	3.5e-49
k141_62424_15	K00050	2.5e-44
k141_9053_3	K00050	1.1e-17
k141_66836_2	K00052	4.3e-108
k141_66836_3	K00052	9.8e-41
k141_21061_4	K00052	2e-18
k141_25464_1	K00053	3.8e-115
k141_13605_1	K00053	3.7e-36
k141_8919_3	K00055	6.2e-08
k141_26338_3	K00057	4.9e-142
k141_59101_4	K00057	1e-06
k141_58076_5	K00057	1.9e-06
k141_75762_3	K00057	5.8e-06
k141_58131_11	K00057	7.3e-06
k141_71185_14	K00057	7.8e-06
k141_35771_8	K00058	4e-100
k141_62424_15	K00058	3.9e-88
k141_9053_3	K00058	7.1e-47
k141_9053_4	K00058	2.7e-23
k141_9053_2	K00058	4.5e-18
k141_3052_4	K00058	9.7e-08
k141_25464_1	K00058	7.8e-07
k141_41219_6	K00059	6.4e-94
k141_41795_3	K00059	3.9e-36
k141_13436_7	K00059	2.6e-25
k141_26239_10	K00059	6.3e-12
k141_71281_2	K00059	5e-09
k141_62095_9	K00059	2.6e-08
k141_13436_8	K00059	4e-06
k141_8919_3	K00060	6.2e-18
k141_39867_20	K00060	4.4e-07
k141_17369_4	K00064	1.1e-31
k141_26338_4	K00064	3.5e-15
k141_41219_6	K00065	4.9e-79
k141_41795_3	K00065	6.6e-29
k141_13436_7	K00065	5.7e-19
k141_26239_10	K00065	7.4e-12
k141_62095_9	K00065	6.7e-07
k141_62095_9	K00067	6.5e-24
k141_71281_2	K00067	1.1e-22
k141_26239_10	K00067	1.3e-20
k141_77783_4	K00067	8.6e-16
k141_13573_5	K00067	2.2e-10
k141_41219_6	K00068	9.8e-60
k141_41795_3	K00068	1e-15
k141_13436_7	K00068	1e-08
k141_62095_9	K00068	1.1e-08
k141_71281_2	K00068	3.3e-08
k141_26239_10	K00068	7.4e-06
k141_59101_4	K00074	4.8e-10
k141_26338_3	K00074	3e-07
k141_10263_6	K00075	4.4e-95
k141_10263_5	K00075	5.1e-28
k141_26338_3	K00077	2.9e-12
k141_71185_14	K00077	2e-06
k141_10263_3	K00077	4e-06
k141_19660_3	K00078	1.1e-07
k141_41219_6	K00079	4.7e-10
k141_41795_3	K00079	5.4e-08
k141_41219_6	K00084	2.3e-14
k141_41795_3	K00084	2.6e-09
k141_64485_7	K00086	4.3e-81
k141_48468_1	K00086	4.6e-71
k141_48468_2	K00086	1.7e-06
k141_2656_12	K00087	7.8e-178
k141_2656_13	K00087	4.7e-48
k141_72609_9	K00088	2.1e-11
k141_49948_9	K00088	5.9e-10
k141_13449_11	K00088	1.9e-07
k141_54925_5	K00088	5e-06
k141_4309_3	K00088	8.6e-06
k141_35771_8	K00090	5.5e-64
k141_62424_15	K00090	9.4e-54
k141_9053_3	K00090	2.8e-24
k141_9053_2	K00090	1.8e-06
k141_9053_4	K00090	2.4e-06
k141_64485_7	K00093	7.9e-55
k141_48468_1	K00093	4.3e-47
k141_30415_5	K00096	1.8e-11
k141_48468_1	K00096	1.2e-06
k141_8919_3	K00098	1.4e-19
k141_74076_6	K00099	2.3e-139
k141_74076_7	K00099	1.5e-16
k141_48468_1	K00100	1.4e-46
k141_64485_7	K00100	7.9e-46
k141_10263_5	K00104	2.3e-06
k141_76769_5	K00105	9.7e-07
k141_2656_12	K00106	5.2e-37
k141_2656_11	K00106	2e-17
k141_2656_13	K00106	2.4e-09
k141_76769_5	K00108	2.2e-07
k141_83265_2	K00108	2.9e-06
k141_76769_5	K00109	8.1e-20
k141_76769_6	K00111	1.7e-62
k141_76769_5	K00111	1.3e-33
k141_59101_4	K00111	8.9e-12
k141_31000_17	K00111	2.5e-09
k141_76090_5	K00111	1e-08
k141_83265_2	K00111	8.7e-07
k141_11065_3	K00112	9.6e-11
k141_83265_2	K00112	5.5e-10
k141_31000_17	K00112	9.3e-08
k141_76769_7	K00112	2e-07
k141_26911_7	K00112	6.9e-07
k141_76090_5	K00112	7.9e-07
k141_59101_4	K00112	9.9e-07
k141_58131_11	K00112	1.7e-06
k141_58076_5	K00112	7.1e-06
k141_20645_5	K00113	1e-06
k141_76769_5	K00116	1.4e-06
k141_8919_3	K00121	4.9e-10
k141_35771_8	K00122	2.9e-38
k141_62424_15	K00122	3.7e-31
k141_9053_3	K00122	2.4e-17
k141_13690_4	K00123	1.5e-09
k141_76769_8	K00123	9.9e-07
k141_34913_4	K00124	1.8e-33
k141_13400_10	K00124	7.3e-14
k141_17859_10	K00124	8.3e-10
