gene 	 KO 	 Evalue
k141_4895_length_14757_cov_120.7148_12	K00001	4.9e-82
k141_6156_length_36996_cov_94.2570_25	K00001	1.8e-75
k141_7613_length_13746_cov_118.5963_6	K00001	6e-44
k141_9071_length_29767_cov_104.6695_26	K00001	9.5e-33
k141_1279_length_41364_cov_107.9611_8	K00001	2.3e-29
k141_9053_length_9950_cov_123.9538_8	K00001	1.5e-26
k141_1186_length_20371_cov_113.6176_6	K00001	7e-06
k141_542_length_7851_cov_98.8462_4	K00002	8.6e-69
k141_176_length_22046_cov_130.2687_24	K00002	2.2e-62
k141_1279_length_41364_cov_107.9611_30	K00002	2.5e-06
k141_4604_length_12710_cov_104.0228_3	K00003	1.1e-155
k141_3731_length_13566_cov_106.1470_4	K00003	7.8e-08
k141_4895_length_14757_cov_120.7148_12	K00004	3.1e-41
k141_6156_length_36996_cov_94.2570_25	K00004	1.9e-32
k141_7613_length_13746_cov_118.5963_6	K00004	8.1e-24
k141_493_length_19999_cov_110.7449_15	K00004	3.4e-07
k141_711_length_33447_cov_102.7675_14	K00005	4.9e-127
k141_1279_length_41364_cov_107.9611_12	K00005	4.6e-99
k141_9230_length_24671_cov_132.0164_4	K00005	7.6e-84
k141_9053_length_9950_cov_123.9538_8	K00005	6.5e-18
k141_9071_length_29767_cov_104.6695_26	K00005	1.4e-16
k141_428_length_41689_cov_94.8612_7	K00005	1.4e-11
k141_1279_length_41364_cov_107.9611_8	K00005	2.8e-09
k141_1597_length_7672_cov_116.3682_4	K00007	2.9e-25
k141_4895_length_14757_cov_120.7148_12	K00008	4.7e-47
k141_6156_length_36996_cov_94.2570_25	K00008	6.3e-40
k141_7613_length_13746_cov_118.5963_6	K00008	7.9e-22
k141_493_length_19999_cov_110.7449_15	K00008	1.7e-07
k141_1597_length_7672_cov_116.3682_4	K00009	1.2e-150
k141_3731_length_13566_cov_106.1470_4	K00010	2.6e-44
k141_1730_length_45460_cov_111.0447_2	K00010	4.5e-40
k141_5859_length_14875_cov_113.4048_8	K00010	8.9e-40
k141_495_length_42106_cov_109.6494_24	K00010	1.5e-20
k141_4604_length_12710_cov_104.0228_3	K00010	9.5e-07
k141_2102_length_3260_cov_112.8333_1	K00010	1e-06
k141_341_length_17046_cov_91.7054_23	K00010	4.9e-06
k141_1327_length_6994_cov_98.2956_6	K00012	1e-12
k141_2348_length_3729_cov_93.0217_3	K00012	6.1e-07
k141_428_length_41689_cov_94.8612_9	K00014	3.5e-97
k141_176_length_22046_cov_130.2687_13	K00014	4.5e-07
k141_2102_length_3260_cov_112.8333_1	K00014	7.9e-07
k141_6007_length_25489_cov_126.5783_9	K00014	9.8e-06
k141_9230_length_24671_cov_132.0164_3	K00015	3.8e-84
k141_5726_length_10094_cov_100.1441_4	K00015	6.5e-63
k141_6007_length_25489_cov_126.5783_9	K00016	8.8e-142
k141_176_length_22046_cov_130.2687_14	K00016	3.8e-93
k141_176_length_22046_cov_130.2687_13	K00016	4.6e-33
k141_9230_length_24671_cov_132.0164_3	K00018	1e-67
k141_5726_length_10094_cov_100.1441_4	K00018	4.7e-62
k141_9376_length_29721_cov_117.6027_10	K00019	1.3e-59
k141_4918_length_4489_cov_91.9455_5	K00019	1.6e-57
k141_1403_length_16850_cov_124.7236_16	K00019	2.2e-57
k141_1164_length_4841_cov_96.8304_2	K00019	2.8e-56
k141_677_length_23011_cov_53.9564_21	K00019	3.6e-55
k141_6156_length_36996_cov_94.2570_6	K00019	9.7e-54
k141_1186_length_20371_cov_113.6176_6	K00019	7.4e-50
k141_4470_length_7742_cov_120.3040_1	K00019	3.9e-44
k141_4167_length_4066_cov_139.6772_6	K00019	2.8e-42
k141_6156_length_36996_cov_94.2570_29	K00019	6.1e-41
k141_283_length_24931_cov_119.5457_8	K00019	9.8e-20
k141_9376_length_29721_cov_117.6027_3	K00020	6.9e-104
k141_9230_length_24671_cov_132.0164_2	K00020	1.2e-47
k141_3059_length_15833_cov_117.2334_3	K00020	3.4e-34
k141_341_length_17046_cov_91.7054_23	K00020	8.6e-14
k141_1327_length_6994_cov_98.2956_6	K00020	3.2e-09
k141_8480_length_2930_cov_100.3546_3	K00020	7.2e-09
k141_428_length_41689_cov_94.8612_5	K00020	4.4e-07
k141_2102_length_3260_cov_112.8333_1	K00020	2.6e-06
k141_9230_length_24671_cov_132.0164_3	K00020	2.7e-06
k141_711_length_33447_cov_102.7675_8	K00021	7.6e-14
k141_9376_length_29721_cov_117.6027_10	K00023	1.8e-79
k141_1403_length_16850_cov_124.7236_16	K00023	1.1e-63
k141_1164_length_4841_cov_96.8304_2	K00023	6e-58
k141_677_length_23011_cov_53.9564_21	K00023	7.6e-58
k141_4918_length_4489_cov_91.9455_5	K00023	1.4e-56
k141_4470_length_7742_cov_120.3040_1	K00023	1.1e-48
k141_4167_length_4066_cov_139.6772_6	K00023	9.6e-44
k141_6156_length_36996_cov_94.2570_6	K00023	2.4e-42
k141_1186_length_20371_cov_113.6176_6	K00023	1.6e-40
k141_6156_length_36996_cov_94.2570_29	K00023	4.9e-40
k141_283_length_24931_cov_119.5457_8	K00023	1.6e-19
k141_6007_length_25489_cov_126.5783_9	K00024	8.8e-104
k141_176_length_22046_cov_130.2687_14	K00024	4e-66
k141_176_length_22046_cov_130.2687_13	K00024	7.8e-23
k141_4911_length_26747_cov_100.0863_3	K00027	5.2e-136
k141_459_length_30035_cov_140.1270_2	K00027	4.4e-122
k141_4911_length_26747_cov_100.0863_3	K00029	2.5e-82
k141_459_length_30035_cov_140.1270_2	K00029	2e-72
k141_5726_length_10094_cov_100.1441_4	K00032	7.4e-58
k141_9230_length_24671_cov_132.0164_3	K00032	3.1e-48
k141_3059_length_15833_cov_117.2334_3	K00033	6.1e-222
k141_9230_length_24671_cov_132.0164_2	K00033	1.2e-99
k141_9376_length_29721_cov_117.6027_3	K00033	1.9e-23
k141_1327_length_6994_cov_98.2956_6	K00033	1.3e-08
k141_1164_length_4841_cov_96.8304_2	K00034	4.5e-96
k141_1403_length_16850_cov_124.7236_16	K00034	7.4e-87
k141_9376_length_29721_cov_117.6027_10	K00034	1.5e-80
k141_677_length_23011_cov_53.9564_21	K00034	9.3e-78
k141_4918_length_4489_cov_91.9455_5	K00034	2.1e-76
k141_4167_length_4066_cov_139.6772_6	K00034	2.6e-68
k141_4470_length_7742_cov_120.3040_1	K00034	1.9e-58
k141_6156_length_36996_cov_94.2570_29	K00034	3.2e-53
k141_6156_length_36996_cov_94.2570_6	K00034	4e-52
k141_1186_length_20371_cov_113.6176_6	K00034	7.1e-51
k141_283_length_24931_cov_119.5457_8	K00034	2.7e-35
k141_1730_length_45460_cov_111.0447_2	K00035	4.1e-17
k141_3731_length_13566_cov_106.1470_4	K00035	1.3e-14
k141_5859_length_14875_cov_113.4048_8	K00035	2.9e-13
k141_495_length_42106_cov_109.6494_24	K00035	3.3e-13
k141_495_length_42106_cov_109.6494_28	K00036	4.4e-199
k141_1164_length_4841_cov_96.8304_2	K00038	3e-73
k141_4918_length_4489_cov_91.9455_5	K00038	1.9e-68
k141_1403_length_16850_cov_124.7236_16	K00038	8.5e-68
k141_677_length_23011_cov_53.9564_21	K00038	1.3e-65
k141_9376_length_29721_cov_117.6027_10	K00038	8.1e-65
k141_4470_length_7742_cov_120.3040_1	K00038	2e-55
k141_4167_length_4066_cov_139.6772_6	K00038	5.1e-52
k141_1186_length_20371_cov_113.6176_6	K00038	6.4e-51
k141_6156_length_36996_cov_94.2570_6	K00038	5.4e-46
k141_6156_length_36996_cov_94.2570_29	K00038	2.1e-40
k141_283_length_24931_cov_119.5457_8	K00038	1.3e-28
k141_1597_length_7672_cov_116.3682_6	K00038	9.8e-07
k141_1186_length_20371_cov_113.6176_6	K00039	9e-58
k141_6156_length_36996_cov_94.2570_6	K00039	7.8e-44
k141_4918_length_4489_cov_91.9455_5	K00039	2e-37
k141_9376_length_29721_cov_117.6027_10	K00039	4.4e-36
k141_1164_length_4841_cov_96.8304_2	K00039	6.4e-36
k141_677_length_23011_cov_53.9564_21	K00039	6.8e-35
k141_1403_length_16850_cov_124.7236_16	K00039	5.7e-31
k141_4167_length_4066_cov_139.6772_6	K00039	5.8e-30
k141_4470_length_7742_cov_120.3040_1	K00039	1.6e-26
k141_6156_length_36996_cov_94.2570_29	K00039	3.8e-26
k141_283_length_24931_cov_119.5457_8	K00039	2.1e-07
k141_1597_length_7672_cov_116.3682_4	K00040	4.6e-40
k141_1597_length_7672_cov_116.3682_4	K00041	5.1e-25
k141_9376_length_29721_cov_117.6027_3	K00042	3.7e-93
k141_9230_length_24671_cov_132.0164_2	K00042	8.5e-37
k141_3059_length_15833_cov_117.2334_3	K00042	3e-29
k141_341_length_17046_cov_91.7054_23	K00042	2e-08
k141_1327_length_6994_cov_98.2956_6	K00042	2.2e-07
k141_493_length_19999_cov_110.7449_15	K00042	7.1e-06
k141_9071_length_29767_cov_104.6695_26	K00043	1.1e-71
k141_1279_length_41364_cov_107.9611_8	K00043	3.7e-68
k141_9053_length_9950_cov_123.9538_8	K00043	6.8e-63
k141_711_length_33447_cov_102.7675_14	K00043	3.1e-15
k141_1279_length_41364_cov_107.9611_12	K00043	1e-09
k141_428_length_41689_cov_94.8612_7	K00043	2.1e-07
k141_1597_length_7672_cov_116.3682_4	K00045	1.2e-33
k141_9071_length_29767_cov_104.6695_26	K00048	8.7e-72
k141_1279_length_41364_cov_107.9611_8	K00048	2.5e-71
k141_9053_length_9950_cov_123.9538_8	K00048	3.2e-51
k141_711_length_33447_cov_102.7675_14	K00048	6.6e-09
k141_5726_length_10094_cov_100.1441_4	K00049	8.6e-28
k141_9230_length_24671_cov_132.0164_3	K00049	3.4e-24
k141_5726_length_10094_cov_100.1441_4	K00050	1.2e-46
k141_9230_length_24671_cov_132.0164_3	K00050	1.3e-46
k141_711_length_33447_cov_102.7675_8	K00054	3e-166
k141_4895_length_14757_cov_120.7148_12	K00055	2.8e-26
k141_6156_length_36996_cov_94.2570_25	K00055	1.2e-22
k141_7613_length_13746_cov_118.5963_6	K00055	4.8e-11
k141_1327_length_6994_cov_98.2956_6	K00057	2.2e-148
k141_3490_length_51851_cov_104.2545_20	K00057	1.4e-13
k141_6156_length_36996_cov_94.2570_41	K00057	3.4e-13
k141_341_length_17046_cov_91.7054_23	K00057	1.2e-06
k141_9230_length_24671_cov_132.0164_3	K00058	1.2e-96
k141_5726_length_10094_cov_100.1441_4	K00058	2.7e-63
k141_9376_length_29721_cov_117.6027_10	K00059	1.8e-100
