ko	pathway	ERR1995214_bin.1	ERR1995214_bin.10	ERR1995214_bin.2	ERR1995214_bin.3	ERR1995214_bin.4	ERR1995214_bin.5	ERR1995214_bin.6	ERR1995214_bin.7	ERR1995214_bin.8	ERR1995214_bin.9
ko00010	Glycolysis / Gluconeogenesis	67	59	63	64	76	60	55	53	54	60
ko00020	Citrate cycle (TCA cycle)	34	36	38	39	50	42	29	43	36	30
ko00030	Pentose phosphate pathway	60	45	53	62	67	57	51	46	43	43
ko00040	Pentose and glucuronate interconversions	57	34	43	41	60	48	25	34	35	32
ko00051	Fructose and mannose metabolism	76	52	63	50	83	51	43	43	41	52
ko00052	Galactose metabolism	51	27	53	27	54	36	26	19	30	27
ko00053	Ascorbate and aldarate metabolism	32	26	28	32	37	27	24	22	22	22
ko00061	Fatty acid biosynthesis	29	22	22	28	27	28	22	26	25	25
ko00062	Fatty acid elongation	4	4	3	5	5	5	3	1	2	4
ko00071	Fatty acid degradation	26	29	17	35	34	34	22	20	17	34
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	1	0	0	0	0	0	0
ko00100	Steroid biosynthesis	3	2	2	2	3	2	2	2	2	2
ko00120	Primary bile acid biosynthesis	2	2	1	2	3	2	0	1	1	2
ko00121	Secondary bile acid biosynthesis	3	2	1	2	2	3	2	2	0	2
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	31	25	27	33	37	26	29	30	26	29
ko00140	Steroid hormone biosynthesis	4	4	3	3	3	3	4	3	4	3
ko00190	Oxidative phosphorylation	2	4	2	5	12	4	4	6	3	5
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	38	27	37	42	40	37	37	36	36	31
ko00230	Purine metabolism	88	75	77	101	100	95	84	86	65	73
ko00232	Caffeine metabolism	0	0	3	1	3	4	1	0	0	0
ko00240	Pyrimidine metabolism	61	54	57	58	70	59	55	58	46	51
