gene 	 KO 	 Evalue
k115_17752_length_169247_cov_12.9977_17	K00001	1.6e-44
k115_29341_length_64956_cov_14.9965_7	K00001	8e-37
k115_50275_length_34792_cov_13.9940_12	K00001	9.8e-16
k115_15226_length_64766_cov_13.4561_43	K00001	3.8e-06
k115_28881_length_62176_cov_11.9972_17	K00002	9.1e-08
k115_28881_length_62176_cov_11.9972_3	K00003	4.1e-117
k115_11273_length_111973_cov_11.8571_52	K00003	8.7e-06
k115_43636_length_18090_cov_11.9804_19	K00004	2.6e-07
k115_15226_length_64766_cov_13.4561_43	K00004	4.2e-06
k115_29341_length_64956_cov_14.9965_7	K00005	2e-20
k115_17752_length_169247_cov_12.9977_55	K00005	1.2e-12
k115_17752_length_169247_cov_12.9977_17	K00005	1.8e-12
k115_50275_length_34792_cov_13.9940_12	K00005	3.5e-11
k115_11273_length_111973_cov_11.8571_64	K00007	1.4e-21
k115_15226_length_64766_cov_13.4561_43	K00008	4.4e-08
k115_29641_length_56444_cov_11.9969_50	K00008	4e-07
k115_11273_length_111973_cov_11.8571_64	K00009	4e-136
k115_50525_length_128715_cov_13.0298_5	K00010	1.7e-52
k115_17752_length_169247_cov_12.9977_25	K00010	1.2e-47
k115_54909_length_84635_cov_11.9958_69	K00010	1.2e-39
k115_50525_length_128715_cov_13.0298_7	K00010	4.7e-35
k115_51401_length_86553_cov_14.9691_27	K00010	2e-27
k115_17752_length_169247_cov_12.9977_23	K00010	2.7e-26
k115_11273_length_111973_cov_11.8571_52	K00010	4.8e-09
k115_15452_length_58025_cov_11.9939_21	K00012	1.4e-191
k115_58416_length_26155_cov_13.0000_17	K00012	2e-06
k115_44258_length_32939_cov_12.0000_21	K00013	2.9e-171
k115_11273_length_111973_cov_11.8571_40	K00014	3.5e-71
k115_33239_length_58982_cov_11.0000_13	K00014	2.7e-06
k115_28881_length_62176_cov_11.9972_14	K00015	2.4e-82
k115_48040_length_65889_cov_19.9954_15	K00015	1.4e-80
k115_39964_length_35472_cov_12.0000_6	K00015	7.4e-62
k115_50727_length_11406_cov_12.9830_5	K00015	1e-45
k115_15081_length_45823_cov_12.0000_6	K00015	2.5e-06
k115_58416_length_26155_cov_13.0000_17	K00016	5.6e-96
k115_27076_length_154490_cov_13.9966_102	K00016	2.4e-30
k115_48040_length_65889_cov_19.9954_15	K00018	5.5e-116
k115_28881_length_62176_cov_11.9972_14	K00018	5e-74
k115_39964_length_35472_cov_12.0000_6	K00018	8.5e-52
k115_50727_length_11406_cov_12.9830_5	K00018	1.1e-42
k115_19148_length_17524_cov_11.9899_1	K00018	5.2e-06
k115_15081_length_45823_cov_12.0000_6	K00018	5.6e-06
k115_11273_length_111973_cov_11.8571_87	K00019	1.5e-58
k115_54909_length_84635_cov_11.9958_60	K00019	4.5e-57
k115_19511_length_42777_cov_14.0071_10	K00019	1.7e-50
k115_43183_length_89896_cov_13.9954_5	K00019	7.2e-49
k115_25213_length_22956_cov_12.0000_17	K00019	1.3e-35
k115_15081_length_45823_cov_12.0000_23	K00019	1.4e-24
k115_44952_length_115038_cov_14.9981_71	K00019	1.1e-06
k115_15452_length_58025_cov_11.9939_21	K00020	3.7e-09
k115_39964_length_35472_cov_12.0000_14	K00020	1.6e-08
k115_28881_length_62176_cov_11.9972_14	K00020	1.1e-07
k115_44952_length_115038_cov_14.9981_51	K00020	2.4e-07
k115_11273_length_111973_cov_11.8571_87	K00023	7.4e-85
k115_43183_length_89896_cov_13.9954_5	K00023	1.4e-76
k115_54909_length_84635_cov_11.9958_60	K00023	3.5e-43
k115_19511_length_42777_cov_14.0071_10	K00023	1.3e-41
k115_25213_length_22956_cov_12.0000_17	K00023	1.7e-22
k115_15081_length_45823_cov_12.0000_23	K00023	1.1e-14
k115_47552_length_19976_cov_13.9791_22	K00023	3e-09
k115_44952_length_115038_cov_14.9981_71	K00023	2.9e-07
k115_58416_length_26155_cov_13.0000_17	K00024	1e-120
k115_27076_length_154490_cov_13.9966_102	K00024	6.5e-73
k115_15226_length_64766_cov_13.4561_6	K00024	7.7e-08
k115_21172_length_15938_cov_12.1779_1	K00027	4.2e-127
k115_21172_length_15938_cov_12.1779_1	K00029	5.2e-105
k115_41156_length_62624_cov_14.9062_20	K00030	2.9e-50
k115_41156_length_62624_cov_14.9062_20	K00031	1.4e-46
k115_48040_length_65889_cov_19.9954_15	K00032	2.2e-55
k115_28881_length_62176_cov_11.9972_14	K00032	3.2e-47
k115_39964_length_35472_cov_12.0000_6	K00032	2.6e-38
k115_50727_length_11406_cov_12.9830_5	K00032	1.7e-21
k115_11273_length_111973_cov_11.8571_87	K00034	6e-81
k115_43183_length_89896_cov_13.9954_5	K00034	2.2e-67
k115_54909_length_84635_cov_11.9958_60	K00034	2.5e-55
k115_19511_length_42777_cov_14.0071_10	K00034	4.3e-53
k115_25213_length_22956_cov_12.0000_17	K00034	1.6e-37
k115_47552_length_19976_cov_13.9791_22	K00034	1.8e-23
k115_15081_length_45823_cov_12.0000_23	K00034	1.4e-22
k115_44952_length_115038_cov_14.9981_71	K00034	5.5e-08
k115_50525_length_128715_cov_13.0298_5	K00035	1.1e-17
k115_54909_length_84635_cov_11.9958_69	K00035	7e-14
k115_50525_length_128715_cov_13.0298_7	K00035	2e-12
k115_17752_length_169247_cov_12.9977_23	K00035	2e-11
k115_51401_length_86553_cov_14.9691_27	K00035	1.9e-10
k115_17752_length_169247_cov_12.9977_25	K00035	3.2e-08
k115_11273_length_111973_cov_11.8571_87	K00038	2.5e-74
k115_43183_length_89896_cov_13.9954_5	K00038	2.5e-51
k115_54909_length_84635_cov_11.9958_60	K00038	1.7e-47
k115_19511_length_42777_cov_14.0071_10	K00038	5e-43
k115_25213_length_22956_cov_12.0000_17	K00038	3.5e-28
k115_15081_length_45823_cov_12.0000_23	K00038	7.4e-21
k115_47552_length_19976_cov_13.9791_22	K00038	6.6e-17
k115_19511_length_42777_cov_14.0071_10	K00039	2.8e-50
k115_54909_length_84635_cov_11.9958_60	K00039	3.4e-45
k115_11273_length_111973_cov_11.8571_87	K00039	3.6e-41
k115_43183_length_89896_cov_13.9954_5	K00039	8.2e-25
k115_15081_length_45823_cov_12.0000_23	K00039	1e-23
k115_25213_length_22956_cov_12.0000_17	K00039	3.6e-23
k115_11273_length_111973_cov_11.8571_64	K00040	6.6e-34
k115_11273_length_111973_cov_11.8571_64	K00041	1.4e-20
k115_15452_length_58025_cov_11.9939_21	K00042	8.4e-08
k115_39964_length_35472_cov_12.0000_14	K00042	1.8e-06
k115_29341_length_64956_cov_14.9965_7	K00043	3.4e-88
k115_17752_length_169247_cov_12.9977_17	K00043	3.2e-69
k115_50275_length_34792_cov_13.9940_12	K00043	4.4e-46
k115_11273_length_111973_cov_11.8571_64	K00045	4.6e-29
k115_29341_length_64956_cov_14.9965_7	K00048	1.2e-157
k115_17752_length_169247_cov_12.9977_17	K00048	1.2e-59
k115_50275_length_34792_cov_13.9940_12	K00048	4.5e-32
k115_28881_length_62176_cov_11.9972_14	K00049	1.5e-27
k115_48040_length_65889_cov_19.9954_15	K00049	3.6e-21
k115_39964_length_35472_cov_12.0000_6	K00049	4.6e-12
k115_50727_length_11406_cov_12.9830_5	K00049	1.5e-11
k115_48040_length_65889_cov_19.9954_15	K00050	1.3e-60
k115_28881_length_62176_cov_11.9972_14	K00050	2.4e-45
k115_39964_length_35472_cov_12.0000_6	K00050	2.3e-33
k115_50727_length_11406_cov_12.9830_5	K00050	5.1e-29
k115_41156_length_62624_cov_14.9062_20	K00052	2.9e-153
k115_41156_length_62624_cov_14.9062_14	K00053	2.9e-120
k115_8217_length_46837_cov_13.9911_2	K00057	2.3e-102
k115_15452_length_58025_cov_11.9939_21	K00057	7e-08
k115_29641_length_56444_cov_11.9969_50	K00057	8.1e-06
k115_39964_length_35472_cov_12.0000_14	K00057	8.3e-06
k115_28881_length_62176_cov_11.9972_14	K00058	1e-96
k115_48040_length_65889_cov_19.9954_15	K00058	2.9e-94
k115_39964_length_35472_cov_12.0000_6	K00058	1e-92
k115_50727_length_11406_cov_12.9830_5	K00058	1.3e-57
k115_15081_length_45823_cov_12.0000_6	K00058	1.4e-08
k115_11273_length_111973_cov_11.8571_87	K00059	8.7e-102
k115_43183_length_89896_cov_13.9954_5	K00059	2e-84
k115_54909_length_84635_cov_11.9958_60	K00059	2.4e-65
k115_19511_length_42777_cov_14.0071_10	K00059	4.9e-61
k115_25213_length_22956_cov_12.0000_17	K00059	8.1e-43
k115_15081_length_45823_cov_12.0000_23	K00059	3.1e-32
k115_47552_length_19976_cov_13.9791_22	K00059	9.5e-25
k115_44952_length_115038_cov_14.9981_71	K00059	3e-10
k115_15226_length_64766_cov_13.4561_6	K00059	4.3e-08
k115_15226_length_64766_cov_13.4561_22	K00059	2.8e-07
k115_15226_length_64766_cov_13.4561_10	K00059	3.4e-06
k115_58416_length_26155_cov_13.0000_10	K00059	6.2e-06
k115_15226_length_64766_cov_13.4561_43	K00060	3.6e-06
k115_16956_length_56457_cov_13.9926_11	K00064	8e-38
k115_28881_length_62176_cov_11.9972_23	K00064	6e-30
k115_43183_length_89896_cov_13.9954_49	K00064	1.4e-20
k115_11273_length_111973_cov_11.8571_87	K00065	3e-81
k115_43183_length_89896_cov_13.9954_5	K00065	4.4e-63
k115_19511_length_42777_cov_14.0071_10	K00065	4.3e-53
k115_54909_length_84635_cov_11.9958_60	K00065	2.1e-51
k115_25213_length_22956_cov_12.0000_17	K00065	4.2e-34
k115_15081_length_45823_cov_12.0000_23	K00065	1e-26
