gene 	 KO 	 Evalue
k141_3365_length_65208_cov_15.0000_31	K00001	4.6e-52
k141_12234_length_52611_cov_21.9938_26	K00001	1.9e-38
k141_12234_length_52611_cov_21.9938_24	K00001	4.8e-32
k141_2422_length_48649_cov_18.0000_30	K00001	1.2e-29
k141_10817_length_8913_cov_18.0000_6	K00001	4.5e-06
k141_1866_length_17571_cov_21.9787_11	K00001	4.8e-06
k141_3365_length_65208_cov_15.0000_13	K00001	6.6e-06
k141_7579_length_4582_cov_17.0000_2	K00002	2.1e-61
k141_7265_length_29813_cov_16.0000_27	K00002	1.4e-46
k141_7265_length_29813_cov_16.0000_22	K00003	3.2e-151
k141_3365_length_65208_cov_15.0000_31	K00004	1.4e-31
k141_2422_length_48649_cov_18.0000_30	K00004	8.8e-21
k141_10817_length_8913_cov_18.0000_6	K00005	1e-146
k141_12234_length_52611_cov_21.9938_26	K00005	3.4e-20
k141_3450_length_22979_cov_20.3022_14	K00005	2.5e-16
k141_12234_length_52611_cov_21.9938_24	K00005	1.2e-07
k141_9307_length_32518_cov_26.5421_2	K00007	1.8e-20
k141_3365_length_65208_cov_15.0000_31	K00008	1.3e-33
k141_2422_length_48649_cov_18.0000_30	K00008	4.3e-19
k141_3365_length_65208_cov_15.0000_13	K00008	4e-07
k141_9307_length_32518_cov_26.5421_2	K00009	5.2e-147
k141_3365_length_65208_cov_15.0000_40	K00010	1.1e-43
k141_12826_length_43858_cov_17.0000_24	K00010	3e-27
k141_7151_length_21753_cov_14.0000_4	K00012	8.6e-08
k141_9502_length_11166_cov_18.0000_7	K00012	1.1e-06
k141_3450_length_22979_cov_20.3022_13	K00014	7.4e-100
k141_248_length_28749_cov_15.9920_9	K00014	9.1e-07
k141_3365_length_65208_cov_15.0000_13	K00014	4.6e-06
k141_3365_length_65208_cov_15.0000_13	K00015	7.1e-07
k141_248_length_28749_cov_15.9920_9	K00016	1.5e-137
k141_2374_length_13789_cov_15.9784_16	K00016	4.1e-85
k141_3365_length_65208_cov_15.0000_13	K00018	1.5e-07
k141_12209_length_18783_cov_19.9864_13	K00019	2e-62
k141_917_length_22188_cov_16.8559_8	K00019	7.8e-42
k141_12511_length_19259_cov_17.4884_3	K00019	2.6e-40
k141_10894_length_22071_cov_17.0000_10	K00019	8.4e-40
k141_9502_length_11166_cov_18.0000_9	K00019	2.1e-30
k141_9502_length_11166_cov_18.0000_10	K00019	8.3e-20
k141_10637_length_12595_cov_15.0000_12	K00019	2e-07
k141_917_length_22188_cov_16.8559_18	K00020	4.2e-30
k141_9441_length_23654_cov_16.0811_23	K00020	1.1e-13
k141_3450_length_22979_cov_20.3022_18	K00020	1.9e-08
k141_3365_length_65208_cov_15.0000_54	K00020	2.1e-07
k141_3365_length_65208_cov_15.0000_13	K00020	4.1e-06
k141_12209_length_18783_cov_19.9864_13	K00023	1.4e-80
k141_917_length_22188_cov_16.8559_8	K00023	3.4e-38
k141_12511_length_19259_cov_17.4884_3	K00023	1.3e-36
k141_10894_length_22071_cov_17.0000_10	K00023	1.9e-32
k141_9502_length_11166_cov_18.0000_10	K00023	7.3e-26
k141_9502_length_11166_cov_18.0000_9	K00023	2.2e-24
k141_11240_length_128992_cov_18.0000_113	K00023	5.3e-07
k141_248_length_28749_cov_15.9920_9	K00024	8.8e-100
k141_2374_length_13789_cov_15.9784_16	K00024	8.7e-54
